"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Technic Inc.","✅ Technic","Technic","Technical Expertise, Innovation & Service 

For more than 80 years, Technic has been a global supplier of specialty chemicals, custom finishing equipment, engineered powders, and analytical control systems to the electronic component, printed circuit board, semiconductor, industrial finishing and decorative industries. Technic is also a major supplier of engineered metal powders and flakes to the solar industry. Following the expansion of our product lines through organic growth, strategic partnerships, and acquisitions, Technic has grown to be a global leader in:

       - Specialty Chemicals
       - Surface Finishing Equipment
       - Engineered Powder and Flake
       - Analytical Control Tools

Our primary end use markets include: 

       - Semiconductors (front end manufacturing, wafer level packaging, & lead frames)
       - Electronic Connectors
       - Photovoltaic Cell Manufacturing
       - Electronic Components
       - Printed Circuit Boards
       - Industrial Finishing
       - Decorative Applications","Chemical Manufacturing","501-1,000 employees","Privately Held","Cranston, Rhode Island","United States","technic.com","https://www.linkedin.com/company/technic-inc",,,,,
,"KMG","✅ KMG","KMG","Headquartered in Fort Worth, Texas, with facilities in North America, Europe and Asia, KMG (NYSE: KMG) manufactures, formulates and globally distributes specialty chemicals for the Electronics, Industrial Wood Preservation and Industrial Lubricants markets. 

Electronic Chemicals
As the complexity of semiconductor silicon wafers continues to advance, so too must the purity of the process chemicals used in their manufacture. KMG is proud to be a leading supplier of high purity process chemicals for many of the world’s leading technology companies. Our chemicals are used primarily to etch and clean silicon wafers in the production of semiconductors.

We supply a variety of ultra-pure process chemicals, including various concentrations of etchants, solvents and specialty chemical blends. We are committed to maintaining the strictest purity levels throughout the packaging and delivery process and can ship our process chemical products in gallon containers, drums, totes and tank wagons.

Wood Treating Chemicals
KMG is the only manufacturer of pentachlorophenol (penta) for the industrial wood preservation market in North America. Penta is used to preserve and protect wooden utility poles and cross-arms. Treating wood with penta extends its useful life by decades in these industrial applications.

Industrial Lubricants
Through its subsidiaries, Val-Tex and Sealweld, KMG is a leading global provider of high-performance products and services for industrial valve and actuator maintenance. Our comprehensive product portfolio includes valve lubricants, cleaners and sealants, as well as related products such as fittings, adapters and application equipment. We also offer routine and emergency valve maintenance services and technician training for many of the world’s leading pipeline operators. We are dedicated to enabling safe and optimal valve operation while preventing costly, unscheduled downtime at customer facilities and pipelines.","Chemical Manufacturing","501-1,000 employees","Public Company","Fort Worth, TX","United States","kmgchemicals.com","https://www.linkedin.com/company/kmg-chemicals",,,,,
,"ITW Pro Brands","✅ ITW Pro Brands","ITW Pro Brands","ITW Pro Brands is a manufacturer of lubricants, cleaning chemicals, and corrosion preventatives formulated to maximize equipment productivity and product quality for customers. We go to market through B2B with a focus on the automotive, aviation, fabricated metal, food processing and machinery manufacturing market segments. Offering a brand portfolio that is well recognized within these industrial channels, our premium products address customer pain points and our direct sales team provides expert, value-added consulting at the customer level. ITW Pro Brands has 3 manufacturing facilities (Olathe, KS, Tucker, GA and DeWitt, IA) and a formulation lab in Carol Stream, IL and employs 250+ individuals.","Chemical Manufacturing","201-500 employees","Public Company","Olathe, KS","United States","itwprobrands.com","https://www.linkedin.com/company/itw-pro-brands",,,,,
,"Galata Chemicals, LLC","✅ Galata Chemicals","Galata Chemicals","Galata Chemicals, LLC is a new specialty chemical company formed with the acquisition of Chemtura's PVC Additives business. The business has been established for over 40 years with manufacturing and sales globally.  Principal plant locations are in Taft, Lousiana and Lampertheim, Germany.","Chemical Manufacturing","201-500 employees","Privately Held","Jersey City, New Jersey","United States","galatachemicals.com","https://www.linkedin.com/company/galata-chemicals-llc",,,,,
,"The Lebermuth Company","✅ The Lebermuth","The Lebermuth","For over a century The Lebermuth Company has been sourcing, distilling, and perfecting the use of essential oils, which are crucial building blocks of fragrance and flavor. Our wide palette of ingredients allows our innovative team to develop new fragrance and flavor concepts, both natural and synthetic, in order to fit each and every client's individual needs, providing you with exactly what you need to succeed in the marketplace.

Our creative team of perfumers and flavorist have over 70 years of experience. They are supported by well-educated evaluators, analytical and cosmetic chemists as well as a knowledgeable regulatory team. The willingness of our perfumers and flavorist to take a client's idea and transform it into a customized formulation is a key benefit of working with the Lebermuth family. Our team works hand-in-hand with our clients through the product development, application testing, and stability testing phases, assuring both quality and satisfaction.

Lebermuth works directly with farmers from over 30 different countries, seeking the finest ingredients Mother Nature has to offer. Having started out in 1908 selling only mint oil, the company has expanded to selling over 250 essential oils, as well as having formulated thousands of fragrances and flavors. We have a strategic purchasing plan in place, supported by our Supply Chain Manager, who ensures we have what our clients need when they need it.

Agents in: Europe, Japan
International Offices: China, Bulgaria","Chemical Manufacturing","51-200 employees","Privately Held","South Bend, Indiana","United States","lebermuth.com","https://www.linkedin.com/company/the-lebermuth-company",,,,,
,"SWD","✅ SWD","SWD","SWD is a leading manufacturer of construction materials providing state of the art solutions to the industry.  Our consistent delivery of innovative products and industry expertise, as well as the best-in-class customer support provides long term sustainable value for our business partners.  We are committed to transforming the construction industry to positively impact how buildings are designed and constructed from traditional insulation materials to spray foam solutions.","Chemical Manufacturing","51-200 employees","Privately Held","Mesa, AZ","United States","swdurethane.com","https://www.linkedin.com/company/swd-urethane",,,,,
,"Target Specialty Products","✅ Target Specialty Products","Target Specialty Products","With over 80 years of industry experience, Target Specialty Products is proud to be a leading national wholesale distributor of specialty agricultural and pest control chemicals, application equipment, products, supplies, services and education. Serving the entire United States and Canada from 41 conveniently located branch locations, they provide products, services, and equipment to the following industries, in both the private and public sector: Aquatic, Forestry and Vector Control, Golf Course and Turfgrass Maintenance, Landscape Maintenance, Nursery, Structural Pest Control, Fumigation and Vegetation Management.","Chemical Manufacturing","201-500 employees","Public Company","Santa Fe Springs, California","United States","target-specialty.com","https://www.linkedin.com/company/target-specialty-products",,,,,
,"Indorama Ventures  Xylenes & PTA","✅ Indorama Ventures Xylenes &","Indorama Ventures Xylenes &","Indorama Ventures Xylenes & PTA, LLC. (IVXP) is located in Decatur, Alabama, United States of America. It was acquired by Indorama Ventures in April 2016 from BP Amoco Chemical Company. The IVXP Decatur facility sits on 1000 acres and manufactures purified terephthalic acid (PTA) and its raw material, paraxylene (PX). The facility provides raw materials to IVL’s Alpha PET co-located business operation and to external customers worldwide. 

The IVXP Decatur facility is also the world’s only commercial manufacturer of naphthalene dicarboxylate (NDC). NDC is a chemical used in the new-generation polyesters and resins to make items such as LCD flat panels displays, ultra-thin data storage tape and high-strength tire cord. 

The IVXP Decatur facility an OSHA VPP Star site and is home to an award winning environmental learning program called Wetlands Edge.","Chemical Manufacturing","201-500 employees","Privately Held","Decatur, Alabama","United States","indoramaventures.com","https://www.linkedin.com/company/ivxp",,,,,
,"American Welding & Gas","✅ American Welding & Gas","American Welding & Gas","American Welding & Gas (AWG) is a manufacturer and distributor of industrial gases as well as a provider of all your welding supply needs. We are a family and teammate owned company that is headquartered in Raleigh, North Carolina. Our company provides industrial, medical and specialty gases as well as food and beverage gases across the United States, from Montana to Pennsylvania and down through Texas and Florida. With a team of over 800 employees, over 100 retail locations and 22 fill plants we pride ourselves in our customer service, expertise, assets and resources that allow us to reach a large and diversified customer base of the highest quality. AWG originated from Valley Welding Supply located in Billings, Montana and Scott-Gross Company located in Lexington, Kentucky. Both companies began back in 1949 and have allowed us to grow through acquisitions as well as organically.

Our Divisions:
-AWG
-Silvertip Propane
-Axmen Propane
-Thoroughbred Industrial Cylinder Exchange (TICE)
-Tier5 Labs
-CO2 Air","Chemical Manufacturing","501-1,000 employees","Privately Held","Raleigh , NC","United States","awggases.com","https://www.linkedin.com/company/american-welding-&-gas",,,,,
,"Kayaku Advanced Materials","✅ Kayaku Advanced Materials","Kayaku Advanced Materials","Kayaku Advanced Materials, Inc. is composed of three distinct product lines: Specialty Chemicals including photoresists, optical dyes and ancillary materials for MEMS and Microelectronics; PriElex Functional Inks & Coatings for Printed Electronics; and our Paratronix brand of Conformal Coating Services & Equipment. 

We deliver the speed, responsiveness and solutions-orientation of an entrepreneurial organization backed by the strength and resources of our parent company, Nippon Kayaku.

Our innovative material platforms, multi-industry experience, applications expertise, interdisciplinary perspective and credentials, and culture of collaboration make Kayaku Advanced Materials a preferred partner to technology startups and Fortune 50 companies alike.","Chemical Manufacturing","51-200 employees","Privately Held","Westborough, Massachusetts","United States","kayakuam.com","https://www.linkedin.com/company/kayaku-advanced-materials",,,,,
,"GreenChem Industries","✅ GreenChem Industries","GreenChem Industries","GreenChem Industries is a globally recognized, top-ranked chemical distributor, proudly serving clients since 2007. Headquartered in West Palm Beach, FL, we offer over 500 products and maintain numerous stocking locations across North America, Canada, Mexico, and worldwide.

With deep industry expertise and a commitment to exceptional service, we provide tailored solutions at competitive prices. Our extensive network and quick responsiveness ensure we meet the unique needs of every client.","Chemical Manufacturing","51-200 employees","Privately Held","West Palm Beach, Florida","United States","greenchemindustries.com","https://www.linkedin.com/company/greenchem-industries",,,,,
,"Chemence","✅ Chemence","Chemence","Since 1989, Chemence has been a global leader in specialty chemical advancements.  With one of the largest adhesives manufacturing facility in North America, Chemence consumer and industrial products are developed in the United States using environmentally-sound processes.  We provide a range of private labeled and branded adhesives specializing in polymerizable technologies that serve a variety of market segments, including OEM, Automotive, Flexography, Medical, Craft/Hobby, and Health and Beauty.  Our capabilities extend globally with a sister facility in the United Kingdom and manufacturing centers across Europe.  We hold more than 60 patents for both products and processes and continue to invest in creating new and better adhesive products.

US Corporate Office                                       
Chemence, Inc.                                               
185 Bluegrass Valley Parkway                    
Alpharetta, GA 30005                                     
United States                                                    

UK Corporate Office
Chemence, Ltd.
13 Princewood Road
Corby, Northamptonshire
Great Britain NN17 4XD","Chemical Manufacturing","501-1,000 employees","Privately Held","Alpharetta, GA","United States","chemence.com","https://www.linkedin.com/company/chemence-inc-",,,,,
,"International Process Plants","✅ International Process Plants","International Process Plants","International Process Plants (IPP) is your global partner for buying or selling new and used process plants and equipment. We specialize in the chemical, pharmaceutical, petrochemical, food processing and related industries. 

Our goal is to grow with our partners by saving them time and money. For nearly a half-century, we have helped companies sell faster and buy smarter by offering the solutions and inventory to grow their business. We do this by providing unmatched customer satisfaction and access to our vast inventory of ready-to-ship equipment and complete process plant sites. In fact, we have more than 110 complete process plants, 17 complete plant sites and over 15,000 equipment systems and major pieces of high-quality, ready-to-ship used process equipment.

Our headquarters are in the United States and we have offices in 13 other counties across the globe, providing the localized expertise our customers demand. Our seasoned professionals understand your unique needs.  We would love to show you how we can reduce costs and lead times while helping you achieve your goals.

At IPP, we also are firm believers in maximizing the potential of repurposing and revitalizing existing assets, contributing to a more sustainable future. Ready to explore the possibilities? Connect with us here on LinkedIn or visit our website at ippe.com to learn more. Let’s embark on a journey of growth and efficiency together.","Chemical Manufacturing","51-200 employees","Privately Held","Princeton Junction, NJ","United States","ippe.com","https://www.linkedin.com/company/internationalprocessplants",,,,,
,"INEOS Acetyls","✅ INEOS Acetyls","INEOS Acetyls","INEOS Acetyls is a global producer of acetic acid and a range of derivatives. Across Europe, the US and Asia, we have eight production sites. 

The products we make at INEOS Acetyls are key building blocks for a huge range of industries we all rely upon in our everyday lives, including the renewable power, automotive, textile, coatings and packaging sectors.

We’re part of INEOS - a global chemicals company, with 194 sites in 29 countries throughout the world. 

Europe: Our site at Saltend Chemicals Park, Hull, UK, is the largest producer of acetic acid, acetic anhydride and ethyl acetate in Europe. https://www.ineos.com/businesses/ineos-acetyls/acetyls-in-europe/

US: Our US site is based in Texas City. Acetyls America has been a leading supplier of acetic acid and acetic anhydride to North and South America for more than 45 years. https://www.ineos.com/businesses/ineos-acetyls/acetyls-in-america/

Asia: INEOS Acetyls Asia provides acetic acid and commercial services across the region. It is one of the largest acetic acid suppliers in Asia, with a strong reputation in the industry for following world-class standards of production and customer management. https://www.ineos.com/businesses/ineos-acetyls/acetyls-in-asia/","Chemical Manufacturing","201-500 employees","Privately Held","Hull","United States","ineos.com","https://www.linkedin.com/company/ineos-acetyls",,,,,
,"Parchem","✅ Parchem","Parchem","Parchem is a dynamic and growing specialty chemicals distributor and importer. Their approach is simple - to be the most ProActive Resourcing specialists available by providing the most thorough customer service, and high-quality and cost-effective products when customers need them most.

Parchem serves a diverse customer base with thousands of chemical products and hard-to-find materials for the industrial, pharmaceutical, nutrition, personal care and specialty chemical markets. It's poised to extend its reach even further with extensive product and industry expertise and a global network of resources.","Chemical Manufacturing","11-50 employees","Privately Held","New Rochelle, NY","United States","parchem.com","https://www.linkedin.com/company/parchem-fine-&-specialty-chemicals",,,,,
,"American Coatings Show","✅ American Coatings Show","American Coatings Show","The American Coatings SHOW & CONFERENCE is the premier event for the paint & coatings industry. 

The American Coatings SHOW & CONFERENCE is hosted by the American Coatings Association, in collaboration with Vincentz Network. 

If you want to connect to other exhibitors and visitors of the events on social networks, please use the Hashtag #ACS2024.","Chemical Manufacturing","501-1,000 employees","Public Company","Indianapolis, IN","United States","american-coatings-show.com","https://www.linkedin.com/company/american-coatings-show",,,,,
,"Thatcher Company","✅ Thatcher","Thatcher","Thatcher Company is a diversified chemical manufacturer and distributor founded in 1967 by Lawerance Thatcher on the core values of integrity, innovation, stability, safety, and Win-Win relationships with both employees and customers. Dedication to our values has been a successful formula. As a result, we now span across 14 facilities nationwide, supported by a team of over 550 professionals.

Our commitment to stability is reflected in our diverse product portfolio including a proprietary blend of products serving the industries such as Water, Wastewater, Oil & Gas, Dairy, Pharmaceutical, Agriculture and Power. Such a portfolio has consistently safeguarded us against market volatilities. This approach has enabled us to achieve consistent year-over-year growth, regardless of broader economic trends. Thatcher’s flexible business model with diversified products for our regional customers allows us to respond to the changing needs of our customers and the marketplace.

Our profit-sharing plan is a testament to our commitment to employee success, matching 25% of each employee's annual salary. This benefit activates upon reaching our profit targets, an achievement we've consistently met for over 50 years. Alongside this, we offer tuition reimbursement, paid vacation, and sick leave. Our comprehensive package also includes medical, vision, and dental benefits, as well as a company-sponsored $50,000 life insurance policy, provided at no cost to every employee.

Our competitive salaries and generous benefits showcase our dedication to employee success, but what makes a career with us truly fulfilling is our commitment to innovation and continual growth. We embrace challenges with excitement and we’re not afraid of new ideas. So, if you share our passion for growth and the thought of creating novel solutions excites you, then Thatcher Company may just be the perfect fit for your talents.","Chemical Manufacturing","501-1,000 employees","Privately Held","Salt Lake City, Utah","United States","tchem.com","https://www.linkedin.com/company/thatcher-company",,,,,
,"Chemco Products Company","✅ Chemco Products","Chemco Products","Chemco Products Company is a leading specialty chemical company whose Quality, Innovation, Custom Tailored Programs and Customer Service exceeds the expectations of our customers. In 1962, our founder, Lyman M. “Bill” Cole, started Chemco to fulfill a small niche in developing and selling conveyor chain lubricants and cleaners to industry in Southern California.  Bill Cole also founded, Flo-Kem, to manufacture all of the specialty blended chemicals for Chemco.  For over 5 decades, Chemco and Flo-Kem operated as two separate companies and Chemco was considered to be Flo-Kem’s largest customer.  In 2013, the two companies merged and are known legally as LMC Enterprises dba Chemco Products Company and dba Flo-Kem.

Chemco Products, headquartered in Paramount, CA, has been developing, and supplying state-of-the-art specialty cleaning products and solution oriented programs for over 60 years. The company offers a wide spectrum of products and services to meet the requirements and processing needs of many industries. However, the core focus is on Dairy, Food & Beverage and Water & Wastewater Treatment. Our products and tailored programs are now distributed nationwide. Key to Chemco's continuing success is our willingness and flexibility to be responsive to the customers' individual needs.

Chemco Products remains a privately owned family business. Today, the company is led by the 3rd generation owners, Erica Utz Wochna, President/Chief People Officer and Jamie Utz Thomas, CEO. They are both personally involved, along with their Executive Management Team, in the company's day-to-day operations.","Chemical Manufacturing","51-200 employees","Privately Held","Paramount, California","United States","chemcoprod.com","https://www.linkedin.com/company/chemco-products-company",,,,,
,"The Shepherd Chemical Company","✅ The Shepherd Chemical","The Shepherd Chemical","Founded in 1916, The Shepherd Chemical Company is a fourth generation, family owned specialty chemical company dedicated to being our customer’s best co-development partner and long term supplier.  Our track record of value creation and customer service has made us a trusted partner for 36 of the world’s top 50 chemical companies. 

In collaboration with our customers, we are working to solve some of the world’s most complex problems through the synthesis, scale up, and commercialization of inorganic and organic metal compounds for the global marketplace. Our metal chemistry experts create solutions for  exacting chemical applications—from automotive safety to healthcare innovation. Over 50% of our production is co-developed with our customers. 

Our R&D scientists enhance the chemical development process, working with our customers hand-in-hand from laboratory discovery and synthesis to pilot development and through rapid scale-up and commercialization. We ideate, challenge, and strategize together toward the shared vision of exceeding our customers’ expectations and achieving complex product requirements.

Shepherd Chemical operates three manufacturing plants in North America and Europe and manages sales and distribution offices worldwide. Everyday, our more than 250 employees relentlessly pursue Shepherd’s core purpose of Creating Value and Brightening Lives.

Visit us at www.shepchem.com.
Email us at info@shepchem.com.
Tweet us at @ShepChemical: https://twitter.com/shepchemical","Chemical Manufacturing","201-500 employees","Privately Held","Cincinnati, OH","United States","shepchem.com","https://www.linkedin.com/company/the-shepherd-chemical-company",,,,,
,"Gelest, Inc.","✅ Gelest","Gelest","Gelest, Inc., headquartered in Morrisville, PA, USA, was founded in 1991 to serve the advanced technology applications markets and is recognized worldwide as an innovator, manufacturer and supplier of Organo-Silicon and Metal-Organic materials for commercial production and R&D support.

Since its inception, Gelest, Inc. has continuously added experts in the fields of silanes, silicones, and metal-organics.  
The technical staff includes individuals with extensive hands-on experience and academic credentials (see Management Team).  Joint developments between customers and staff have led to an increased product offering from several hundred materials to the current listing of several thousand materials.

The company has focused its research and development efforts toward expanding the offering of Group 4A and 4B analogs.  Gelest, Inc. offers the most comprehensive selection of silane, silicone, and metal-organic materials in the world","Chemical Manufacturing","51-200 employees","Privately Held","Morrisville, PA","United States","gelest.com","https://www.linkedin.com/company/gelest",,,,,
,"Helm US Corporation","✅ Helm US","Helm US","HELM US was established in 1969 and is a subsidiary of the family owned company HELM AG, headquartered in Hamburg, Germany. 
Our strong partner-oriented business models add visible value to the commercial, supply chain and financial activities of our customers and suppliers. As a decades-long leading supplier to the US chemicals industry, HELM US has also incorporated chemicals based on renewable feedstocks to our traditional portfolio.

Our unique work culture focuses on modern leadership principles, pro-active feedback and empowering our employees. We pride ourselves on having a true team-oriented working atmosphere that encourages all employees to actively contribute and help shape the future of HELM US Corporation.","Chemical Manufacturing","51-200 employees","Privately Held","Houston, Texas","United States","helmus.com","https://www.linkedin.com/company/helm-us-corporation",,,,,
,"BAYSTAR","✅ BAYSTAR","BAYSTAR","Based in Pasadena, Texas, Baystar is a people company that produces highly customized enhanced polyethylene for ultimate performance and sustainable solutions across the value chain. Formed in 2018 to invest in the future of our industry, we became a fully integrated producer with the start-up of our new ethane cracker in Port Arthur in 2022. We’ve handpicked our team based on experience, expertise, shared values, and the character traits that make us unique. Baystar is a proud member of Responsible Care and is committed to Operation Clean Sweep (OCS), a program dedicated to helping every plastic resin handling operation achieve zero plastic resin loss. Our high-performance and versatile products help our customers remain highly competitive, and we are proudly shaking up the industry with our attentive service. Our motto is: “Less business to business. More person to person.”","Chemical Manufacturing","201-500 employees","Partnership","Pasadena, Texas","United States","baystar.com","https://www.linkedin.com/company/baystar-bayport-polymers-llc",,,,,
,"Avista Technologies, Inc.","✅ Avista Technologies","Avista Technologies","Avista Technologies is a trusted expert in membrane system chemistry and global process support, including reverse osmosis (RO), microfiltration/ultrafiltration (MF/UF) and multimedia filtration (MMF). 
In our fully equipped laboratories, the Avista team formulates specific chemicals using a blend of art and science. While the developmental process is more exploratory, the resulting formulations are firmly rooted in proven science. 

Our chemicals are pre-tested, tested and re-tested to ensure that they meet the unique challenges posed by diverse, water treatment applications and changing feedwaters. Our process support services include cleaning studies, membrane autopsies, off-site cleaning, field support, filtration studies, on-site supervision of procedures, chemical application recommendations, data monitoring and on-site troubleshooting.

At Avista, our focus is to enhance the life, performance, reliability and recovery rate of your membrane system.

Membrane systems represent a significant investment, and Avista is an expert in membrane care. We ensure that you receive the maximum useful life out of your membrane system equipment, whether you’re using reverse osmosis, microfiltration/ultrafiltration or multimedia filtration.","Chemical Manufacturing","51-200 employees","Public Company","San Marcos, California","United States","avistamembranesolutions.com","https://www.linkedin.com/company/avista-technologies-inc.",,,,,
,"Nature Coatings","✅ Nature Coatings","Nature Coatings","Nature Coatings is an award-winning biochemicals company transforming wood waste into 100% bio-based, non-toxic and carbon-negative black pigments and dispersions. These high-performing solutions are a replacement for petroleum-derived carbon black, and serve a wide range of sectors, including the ink industry (packaging, textile and footwear), as well as the plastics and paint and coatings industries. 

Backed by prominent investors, including Regeneration.VC, Fashion for Good and Leonardo DiCaprio, Nature Coatings has also gained the support of renowned global brands, such as Levi’s, luxury brands within the Kering Group, Bestseller’s Jack&Jones and Selected HOMME among others.","Chemical Manufacturing","11-50 employees","Privately Held","Las Vegas, NV","United States","naturecoatingsinc.com","https://www.linkedin.com/company/naturecoatingsinc",,,,,
,"HA International, LLC","✅ HA International","HA International","HA International (HAI), a key subsidiary of Hüttenes-Albertus, is the leading supplier to the North American foundry industry. We specialize in innovative core and mold production solutions, striving to enhance the metal casting sector through high-quality, technically superior products and services. Our commitment extends to environmental responsibility, employee safety, and profitable growth for our shareholders.

Our Products

HAI provides a diverse portfolio of products across three main segments:
 
Resin Systems: Advanced bonding solutions for sand casting.

Resin Coated Sand (RCS): Optimized for shell casting processes, enhancing mold integrity and finish.

Refractory Coatings: Protects casting molds under high temperatures, ensuring quality and durability. 

Additionally, we offer a range of auxiliary products, including Wedron Flux, which improves metal treatment processes and results in cleaner, stronger casting alloys.

Our Services

Beyond products, HAI excels in delivering comprehensive services to maximize foundry operations. Our Technical Service team, known for its expertise and experience, supports clients in achieving optimal product performance. Highlighting our commitment to sustainability, our HAI Amine Reclamation Program (HARP) offers an environmentally friendly solution for managing amine emissions and waste from phenolic urethane cold box operations, demonstrating our leadership in sustainable foundry practices.","Chemical Manufacturing","51-200 employees","Privately Held","Westmont, IL","United States","ha-international.com","https://www.linkedin.com/company/ha-international-llc",,,,,
,"Harrell's LLC","✅ Harrell's","Harrell's","Harrell’s is a leading producer of quality custom blended fertilizers and distributor of plant protectants and biocontrols for golf course, turf & landscape, specialty ag, sports turf and horticulture industries.

In addition to being one of the nation’s largest distributors of branded plant protectants, Harrell’s produces top-quality, custom blended fertilizers, specialty liquids, and wetting agents to aid in growing healthy plants. We guarantee stringent quality control procedures, tight manufacturing specifications and careful selection of raw materials for each product that carries the Harrell’s name. We are also the exclusive U.S. formulator and distributor of POLYON, the industry’s superior controlled-release fertilizer technology. Our products are shipped all around the eastern United States, across the Caribbean, Central and South America, the Middle East and along the Pacific Rim.","Chemical Manufacturing","201-500 employees","Privately Held","Lakeland, FL","United States","harrells.com","https://www.linkedin.com/company/harrell's-llc",,,,,
,"Phoenix Equipment Corporation","✅ Phoenix Equipment","Phoenix Equipment","𝐏𝐡𝐨𝐞𝐧𝐢𝐱 𝐄𝐪𝐮𝐢𝐩𝐦𝐞𝐧𝐭 𝐂𝐨𝐫𝐩𝐨𝐫𝐚𝐭𝐢𝐨𝐧: 𝐘𝐨𝐮𝐫 𝐆𝐥𝐨𝐛𝐚𝐥 𝐏𝐚𝐫𝐭𝐧𝐞𝐫 𝐟𝐨𝐫 𝐔𝐬𝐞𝐝 𝐏𝐫𝐨𝐜𝐞𝐬𝐬𝐢𝐧𝐠 𝐄𝐪𝐮𝐢𝐩𝐦𝐞𝐧𝐭.
Phoenix Equipment specializes in the buying, selling, and relocation of complete chemical process plants and individual pieces of used process equipment and machinery.
𝐖𝐞 𝐬𝐞𝐫𝐯𝐞 𝐚 𝐝𝐢𝐯𝐞𝐫𝐬𝐞 𝐫𝐚𝐧𝐠𝐞 𝐨𝐟 𝐢𝐧𝐝𝐮𝐬𝐭𝐫𝐢𝐞𝐬, including:
•	Chemical Processing
•	Petrochemical
•	Fertilizer
•	Refining
•	Gas Processing
•	Power Generation
•	Pharmaceutical
•	Food Manufacturing
𝐎𝐮𝐫 𝐜𝐨𝐦𝐩𝐫𝐞𝐡𝐞𝐧𝐬𝐢𝐯𝐞 𝐬𝐞𝐫𝐯𝐢𝐜𝐞𝐬 𝐢𝐧𝐜𝐥𝐮𝐝𝐞:
•	𝐏𝐥𝐚𝐧𝐭 𝐑𝐞𝐥𝐨𝐜𝐚𝐭𝐢𝐨𝐧: We manage the entire process, from match-marking and dismantlement to refurbishment, crating, export, and shipping.
•	𝐄𝐪𝐮𝐢𝐩𝐦𝐞𝐧𝐭 𝐒𝐚𝐥𝐞𝐬 We offer a vast inventory of over 5,000 items across 40+ categories, including reactors, distillation columns, filters, tanks, and more.
•	𝐃𝐢𝐬𝐦𝐚𝐧𝐭𝐥𝐞𝐦𝐞𝐧𝐭 & 𝐃𝐞𝐜𝐨𝐦𝐦𝐢𝐬𝐬𝐢𝐨𝐧𝐢𝐧𝐠: We have extensive experience in complex dismantlement, demolition, and decommissioning projects.
•	𝐄𝐪𝐮𝐢𝐩𝐦𝐞𝐧𝐭 𝐀𝐩𝐩𝐫𝐚𝐢𝐬𝐚𝐥: We provide accurate and reliable appraisals of your surplus equipment.
With a global network and a team based in the USA, China, India, and Germany, we can meet your processing equipment needs worldwide.","Chemical Manufacturing","11-50 employees","Privately Held","Red Bank, New Jersey","United States","phxequip.com","https://www.linkedin.com/company/phoenix-equipment",,,,,
,"Ecoservices","✅ Ecoservices","Ecoservices","As a leading provider of regeneration services and merchant virgin sulfuric acid in North America, Ecoservices’ expertise extends across multiple applications that enable cleaner, more efficient industrial processes. 

Ecoservices, part of the Ecovyst family, is a leading North America producer with a century-old track record in sulfuric acid technology and services. We provide essential solutions that power the production of key products for the modern economy, supporting industries critical to global sustainability and technological advancement.

Our core offerings include:
●	Sulfuric Acid Regeneration: We deliver end-to-end regeneration services for alkylation producers, supporting the production of high-octane, high-value gasoline blending components. This process is increasingly important as demand shifts toward higher standards for fuel efficiency and lower emissions in the transportation sector.

●	Specialty Grade Virgin Sulfuric Acid: We produce high-purity virgin sulfuric acid for diverse and growing applications including mining (particularly copper for electronics), lead-acid battery production for all vehicle types, water treatment, and agricultural products.

●	Treatment Services: Our reliable chemical waste handling and treatment services help customers meet stringent environmental regulations and avoid disposal of wastes in landfills or deep wells.

●	Chem32: Our proprietary THIOCAT fixed-bed sulfiding technology activates catalysts and absorbents used in refining, petrochemical, and environmental processes.

With significant sulfuric acid processing know-how and an extensive logistics network, Ecoservices delivers value through:

 Absolute reliability in service and supply
 Dynamic supply chain management
 Superior health, safety, and environmental performance
 Sustainable solutions that avoid significant landfill or deep well disposal","Chemical Manufacturing","201-500 employees","Public Company","Baton Rouge, Louisiana","United States","ecovyst.com","https://www.linkedin.com/company/eco-services-operations-llc",,,,,
,"Global Graphene Group","✅ Global Graphene","Global Graphene","Global Graphene Group, Inc. (G3) is a leading material science technology and product solutions company focused on graphene. It has an award-winning, best-in-class intellectual property portfolio with more than 525 patents and applications. In addition, G3 holds many of the world’s firsts in graphene-related breakthroughs that have resulted in cutting edge products. G3, headquartered in Dayton, Ohio, is the holding company for a variety of subsidiaries. Taiwan Graphene Company is the largest volume producer of single-layer graphene globally. It is focused on high volume production of graphene raw materials, enhanced thermal interface materials (films, pastes, inks), and nanocomposite products (both thermoplastics and thermosets). Honeycomb Battery is focused on commercializing next generation lithium ion battery electrodes, battery performance solutions enhanced with graphene, and improved battery reliability performance. Angstron Energy Company produces graphene-wrapped nano silicon particles to improve anode stability, prelithiation to reduce capacity loss, significant cost reduction in cost of goods, and has the world’s largest silicon anode production line in the US.

R&D Magazine recognized G³ for its GCA-II-N technology with the R&D 100 Award in November 2018 and as the R&D 100 Award Finalist in November 2019 for its graphene-protected lithium metal anode for rechargeable metal batteries solution, HELiX.","Chemical Manufacturing","51-200 employees","Privately Held","Dayton, OH","United States","theglobalgraphenegroup.com","https://www.linkedin.com/company/angstron-materials",,,,,
