"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"CHOCHENG","CHOCHENG is a womenswear designer label launched by Cho Cho Cheng on 
781 Fifth Avenue, New York. Cheng studied fashion and costume design at the Parsons School of Design and later took an apprenticeship in Savile Row, London to study traditional British tailoring.

CHOCHENG pays close attention to detail and uses only materials that are 100% natural and cruelty free. All fabrics are sustainable and produced in Europe. All garments are hand sewn in London following traditional Savile Row tailoring techniques. For both environmental and aesthetic reasons, CHOCHENG forbids the use of commercial iron-on interfacing and machine finishing. Incorporating Savile Row hand sewing techniques, everything from the shoulder pads, embroidered buttons, inseam buttonholes to decorative silk petals are handmade from natural materials. Jackets and coats are half lined in the manner of traditional sports jackets allowing customers to see all padding, stiffening, basting, binding and interfacing are done by hand. Woven garments are manufactured in London, whilst knitwear and accessories are made in Italy. 

CHOCHENG has become synonymous with 100% natural materials and a whimsical interpretation of traditional British tailoring. 

CHOCHENG caters to a discerning clientele who appreciates comfort, craftsmanship and conservation of the environment.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, NY","United States","chocheng.com","https://www.linkedin.com/company/chocheng"
,"Sudara, Inc.","We are Sudara -- an Oregon-based Benefit Corporation that endeavors to eradicate sex slavery in India. We empower women to live dignified lives of choice, safety, and freedom through living-wage jobs in India with profound, generational impacts.

Our mission-centered company, which puts people and the planet on par with profits, offers our corporate partners access to our 17-year-vetted ethical supply chain, focuses on gender and economic equity, and alignment with our SDG-aligned mission.

Sudara is the CSR partner that will elevate you as an ESG leader.

Join us, and together, we can change the world!","Apparel and Fashion","11-50 employees","Partnership","Bend, OR","United States","sudara.org","https://www.linkedin.com/company/sudara-inc."
,"Chunks Hair Accessories","Chunks is a fun, colorful hair accessory company that started out of Tiffany Ju's basement in 2019 and has become a cult fave leader in the category. Based in Seattle, WA. Proudly and responsibly made in Jinhua, China.","Retail Apparel and Fashion","11-50 employees","Privately Held","Seattle, wa","United States","chunks.shop","https://www.linkedin.com/company/chunks"
,"Selective World Sourcing","We are an experienced team of Sourcing Experts with over 50 years of combined experience serving Overseas Clients and Domestic clients in the Apparel & Textile Industry. Based in Los Angeles, CA and production offices in Lahore, Pakistan (the fourth largest Cotton producer in the World) we are poised to bring the highest level of service at both the factory and customer locations.
Our main products are Cotton-Rich Textiles, Readymade Garments of all types, Leather Footwear, Apparel and Accessories and the world’s finest soft Home products.

We deliver nearly everywhere in the World, according to the individual desire of our buyers. Product diversity and a reliable supply base makes us your best choice.","Retail Apparel and Fashion","11-50 employees","Partnership","Los Angeles, California","United States","selectiveworldsourcing.pk","https://www.linkedin.com/company/sws20"
,"BORN X RAISED","EST. 2013","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, California","United States","bornxraised.com","https://www.linkedin.com/company/born-x-raised-llc"
,"Toes on the Nose","Firmly embedded in California beach culture, Toes on the Nose has catered to adventure-loving, laid-back folk for over two decades. Our active lifestyle clothing company proudly boasts of our deep roots in surf history, owing the legendary logo design to the original publisher of Surfer Magazine John Severson. Our brand strives to preserve the spirit of a simpler time when the popularity of noseriding was at its peak. 
Reflecting our authentic beach heritage, we craft clothing with a timeless look using premium fabrics, trims, and construction. With us, you'll find pieces that are comfortable and breathable while maintaining a durability that will last you years. Toes on the Nose maintains its two flagship stores in Laguna Beach and Huntington Beach and showcases its quality products worldwide in boutiques, sports stores and luxury resorts, as well as online. 
Because we consider ourselves more than just a brand, we dive a bit deeper and support our community by sponsoring musicians and athletes. Our ambassadors range from watermen, artists, paramedics, teachers, and everything in between. We go way beyond clothing. We're an attitude, a culture, and a lifestyle. Above all else, we're a family.","Retail Apparel and Fashion","11-50 employees","Privately Held","Newport Beach, California","United States","toesonthenose.com","https://www.linkedin.com/company/toes-on-the-nose"
,"Min & Mon","We are a New York City based, Colombian born fashion brand. Our hand designed products reflect a soulful human experience. Each Min & Mon creation is its own playful, whimsical story written with love by us, ready to be carried on by you.","Retail Apparel and Fashion","11-50 employees","Partnership","New York, NY","United States","minandmon.com","https://www.linkedin.com/company/min-mon"
,"ZOZO USA","Through our innovative 3D scanning technology, the ZOZOFIT app provides you with unparalleled access to valuable data and tools, giving you more control over your health and wellness.","Apparel and Fashion","11-50 employees","Public Company","SANTA MONICA, California","United States","zozofit.com","https://www.linkedin.com/company/zozo-usa"
,"efashionia","efashionia is the top price comparison based shopping guide in United States. Our website is- www.efashionia.com . We are committed to providing you the best match products and prices according to your searches. efashionia has been working to reach you to the thousands of online shops that can help you to find out the best price from all of the high profile competitors for fashion, apparel, and other beauty care. 


As a price comparison shopping guide, our aim is to show you the best match products and the accurate prices from all of the online competitors. We are continuously maintaining the latest technology to keep you updated about all kind of fashion and beauty care products.  Currently, we are serving our visitors in the United States, the United Kingdom, and France. 


We are working very hard to ensure you the best user experience always. Hope you are enjoying the quality of our service. In case, if you face any issues with efashionia then please feel free to contact us. Our dedicated customer service team is available for 24/7 days to help you according to your queries. If you want to contact us then please go to Contact Us page or simply click here","Retail Apparel and Fashion","11-50 employees","Self Owned","Los Angeles, California","United States","efashionia.com","https://www.linkedin.com/company/efashionia"
,"kika Clothing","kika is a Direct Sales line of eco-friendly women's clothing.  We offer a unique business opportunity to women around the country, you get to own a boutique right in the comfort of your own home!  The business model gives you the flexibility that comes with being your own boss: working hours that fit your lifestyle and an unlimited earning potential.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, California","United States","shopkika.com","https://www.linkedin.com/company/kikapaprika"
,"All About Vibe","Our Story

Founded in 2016, All About Vibe was created with one simple goal: to help bring joy to you or a loved one by helping you feel closer to the people and moments that matter most.

Hi! We're All About Vibe.

We're home to our custom shaped pillows, and over 11,000+ art pillows by famous, and local independent artists from around the world.  Our pillows are created on-demand, and guarantee a one-of-a-kind product that will be enjoyed, loved, and remembered for a lifetime.

All of our products are handmade in our partnered factory located in the USA, and come with a 100% satisfaction guarantee.

What We Believe

We believe there's power in every smile. At All About Vibe, it’s not only our job to make every one of those smiles more seamless, but our responsibility to make a positive impact on the world. We do this through our products, through the platform we have, and the community we create. 

In the last 5 years of business, we've partnered with numerous charities, such as Save the Children, Toys for Tots, the Family House, Make a Wish, and many more. It's been an honor to be able to create smiles and partner with organizations seeking to create a better world for everyone and anyone.

What We Make

We make one of a kind products that are; Customizable, Memorable, Lovable, Huggable, Washable, and Giftable.

How We Do It

We have an exclusive partnership with a U.S based factory that enables us to have more control over the speed and quality overall of our products. Our products start from a raw materials, and are then transformed to the exact size and design you ordered. We love empowering other local businesses.

Our quality is guaranteed—your pillows will be with you for life.

If you're motivated to join our team—even if there's no open role that fits—reach out with a proposal. Share how you can make an impact and contribute to our growing company. We're more interested in what you can do for us than in what you've done before. We’d","Retail Apparel and Fashion","11-50 employees","Privately Held","Vernon Hills","United States","allaboutvibe.com","https://www.linkedin.com/company/allaboutvibe"
,"Letarte","From Marin County to Palm Beach, Letarte draws on two decades of West Coast influence while staying true to its East Coast roots. Statement prints, versatile silhouettes and signature accents help Letarte's swim and resort wear embody the Letarte lifestyle; adventurous, chic and always tasteful!


Letarte has six branded retail stores located in Palm Beach, Greenwich, Southampton, Nantucket, Maui and Waikiki as well as a strong online presence.","Retail Apparel and Fashion","11-50 employees","Privately Held","Fairfield, Connecticut","United States","letarteluxe.com","https://www.linkedin.com/company/letarte-inc."
,"Smart Blanks","Smarts Blanks is committed to bringing you quality basics, at great prices, with the goal of becoming your go to brand, located in Anaheim, CA.","Retail Apparel and Fashion","11-50 employees","Privately Held","Anaheim, California","United States","smartexapparel.com","https://www.linkedin.com/company/smart-blanks"
,"AKILA Eyewear","AKILA is an independent eyewear brand from Los Angeles focused on handmade limited run eyewear.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, California","United States","akila.la","https://www.linkedin.com/company/akila"
,"Wear The Peace","A brand on a mission to better this world. With every article of clothing you purchase, we donate a brand new article of clothing to someone in need. We also donate 100% of profits from accessories and hats to Charity. Join us today! Read more about our give back initiative at www.wearthepeace.com/journey","Apparel and Fashion","11-50 employees","Privately Held","Chicago, IL","United States","wearthepeace.com","https://www.linkedin.com/company/wear-the-peace"
,"Andy & Evan","Andy & Evan is a clothing brand for children sold at better retailers worldwide. The Andy & Evan name has become synonymous with updated-traditional fashion, an abundance of detail, and great quality. 

Our mission is to simplify the lives of parents, and make kids happy. 

We invite you to learn more about our brand at www.andyandevan.com.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York","United States","andyandevan.com","https://www.linkedin.com/company/andy-&-evan-for-little-gentlemen"
,"MB Sport","MB Sport is a private-label apparel and accessories development company located in New Canaan, CT.  We design, develop and source casual, active, and outdoor sportswear for leading retailers and brands..","Retail Apparel and Fashion","11-50 employees","Privately Held","New Canaan, CT","United States","mbsport.com","https://www.linkedin.com/company/mb-sport"
,"HOSS Boot Company","HOSS work boots for men and women uniquely feature an oblique safety toe giving workers a roomier toe box. This provides better comfort and fit so your boots are as comfortable at the end of the day as they were at the start. Creating more choices for hard-working men and women around the world.","Retail Apparel and Fashion","11-50 employees","Partnership","Buford, Georgia","United States","hossboots.com","https://www.linkedin.com/company/hossbootco"
,"GBS Trend Inc","For fifty years, GBS Trend Inc. has been a trusted and leading manufacturing partner in the global garment industry, excelling in top-tier cut + sew knits, sweaters, wovens, and denim that defines the landscape of European fashion brands. With a rich history in innovation and craftsmanship, GBS Trend Inc. has helped to shape fashion brands around the world.
 
Building on our historical success, GBS Trend Inc. is now bringing its roots to the United States, operating from Los Angeles to support our American brand partners. Our mission is to bring our decades of expertise in unparalleled craftsmanship to the forefront of American fashion.
 
With the deep understanding that fashion is a reflection of identity, style, and innovation, GBS Trend Inc. ensures every piece meets the highest standards of quality, style, and sustainability.
 
More than just a manufacturer, GBS Trend Inc. ensures to be a partner of your brand's journey, committed to ethical practices and responsible sourcing. As we embark on this new chapter in the United States, we're dedicated to fostering a vibrant and inclusive fashion ecosystem by actively engaging with local talent, artists and designers.
 
We hope you join us on this exciting journey as we blend European craftsmanship with American creativity in the heart of Los Angeles, to shape the fashion industry with a more positive future.
 
Welcome to the GBS Trend family.","Retail Apparel and Fashion","11-50 employees","Privately Held","Torrance, California","United States","gbstrend.com","https://www.linkedin.com/company/gbstrend"
,"Latched Mama","We launched Latched Mama in the late summer of 2014 with the goal of supporting new moms & normalizing affordable nursing wear. Five years & five babies later,  I could never have dreamed of what Latched Mama has become. We support & encourage Mamas to bring their babies to work so they can continue to breastfeed & cultivate a nurturing relationship with their little ones. With love, all orders are picked, packed & shipped by moms supporting moms!","Retail Apparel and Fashion","11-50 employees","Privately Held","Midlothian, Virginia","United States","latchedmama.com","https://www.linkedin.com/company/latched-mama"
,"ROOTED","ROOTED is the premium apparel and footwear destination in Nashville, Tennessee. ROOTED was founded on the idea that the client experience in this industry deserves the utmost importance. We believe that the community is our most valuable asset. Because of this, we will go above and beyond for our community.","Retail Apparel and Fashion","11-50 employees","Partnership","Nashville, TN","United States","stay-rooted.com","https://www.linkedin.com/company/rootednashville"
,"Oso & Me","We make clothes that last longer, that grow with your child, and are as aesthetically beautiful as they are functional. We obsess over special details with tailoring that allows our clothing to be worn longer even through all of those growth spurts.

We do this because clothes should be made thoughtfully, sustainably, and with high-quality standards that withstand generations of hand-me-downs and decrease the amount you of clothes you have to buy.","Apparel and Fashion","11-50 employees","Privately Held","San Francisco, California","United States","osoandme.com","https://www.linkedin.com/company/oso-and-me"
,"Joybees Footwear","Joybees is an industry-leading brand specializing in creating comfortable, value-packed footwear for the entire family.

Developing intricate designs, Joybees are constructed with a proprietary water-friendly EVA foam technology on durable silhouettes. Offering styles that go beyond comfort with vibrant and detailed prints, we strive to bring joy to families everywhere through mindfully created products. From easily slipping on the little ones for their daily adventures, being an ideal post-workout shoe, to gardening on a beautiful day–our versatile products are designed with you, your family, and your everyday in mind. Value, comfort, and style has never felt so effortless with Joybees.","Retail Apparel and Fashion","11-50 employees","Privately Held","Denver","United States","joybeesfootwear.com","https://www.linkedin.com/company/joybees-footwear"
,"Full Turn Custom Apparel","Full Turn is a unique company who collaborates with industry experts, customers and its employees to produce and sell custom branded apparel in the finest Professional Sports Teams, Universities,  Country Clubs, Specialty Stores and Resorts the world has to offer. Our mission is to provide specialty retailers with special luxury apparel products that enable them to compete and excel in today's global marketplace.

Founded as Pima Direct in 2006, Full Turn has grown to service over 1000 specialty retailers throughout the United States and the world.","Apparel and Fashion","11-50 employees","Privately Held","San Leandro, CA","United States","fullturndirect.com","https://www.linkedin.com/company/full-turn-direct"
,"PARTOW","Partow creative director, Nellie Partow’s effortless and modernist approach to dressing women garners devotees of eminent women worldwide. Partow established an aesthetic rooted in minimalism, unstudied luxury, and a tension between modern femininity and masculinity. “My intention is for women to feel empowered. Clothing is an extension of self-expression, and should be dictated by what feels good, not by what trend presents.” From strength to empowerment, those two characteristics define her life both as a competitive, champion boxer and fashion designer.

Upon graduating from Parsons and working for top American designers such as Calvin Klein, Donna Karan, and John Varvatos for ten years, Nellie Partow launched her eponymous label, Partow, in 2011. In 2014, Partow was invited to give a TED Talk, and in 2015, she became a member of the prestigious Council of Fashion Designers of America.

Throughout her career as a designer, Partow has also been a competitive boxer, and in 2007, she fought in front of sold-out crowds at Madison Square Garden, winning the coveted New York Daily News Golden Gloves title. The sport has informed her vision for polished, but not precious clothing that women can truly wear in their everyday lives. Partow has become one of New York’s most promising young talents with a dedicated clientele and a growing list of international stockists.","Retail Apparel and Fashion","11-50 employees","Privately Held","New York, New York","United States","partow.us","https://www.linkedin.com/company/nellie-partow"
,"Milkbarn Kids","Discover the Milkbarn Kids collection of heirloom-quality, organic baby clothes and gifts. A child's imagination inspires all of Milkbarn's one-of-a-kind prints.

We like to think of Milkbarn as a one-word poem.  Our essence, our playfulness, our imagination, our creativity, and our love all rolled into a name.  We’re nostalgic, yet modern; country, yet urban; rustic and yet clean, cool and timeless.

In our world, lions, Goldendoodles, and bunnies roam freely.  In our world, orange giraffes graze the redwood forests while Blue Jays and Whippoorwills serenade the Pacific Ocean.  In our world, artichokes giggle as ladybugs and bucking broncos settle gently on our fingertips.  In our world, the world of Milkbarn, we believe in our children’s imagination.  Our children’s wonder, innocence, and imagination inspire all we create.","Retail Apparel and Fashion","11-50 employees","Privately Held","Franklin, TN","United States","milkbarnkids.com","https://www.linkedin.com/company/milkbarnkids"
,"Triluxe","We build brands and deliver sustainable profitable growth by utilizing our proprietary platform to create and execute relevant innovative strategies that ensure long term success.  We develop brands to be heard, seen, and known nationally and internationally. Our approach is creative, holistic and analytical.","Apparel and Fashion","11-50 employees","Privately Held","New york, New York (Manhattan)","United States","triluxe.com","https://www.linkedin.com/company/triluxe"
,"Workwear Supermarket","We stock a huge range of workwear and are a trusted supplier of personal protective equipment to a wide range of customers and industries, from healthcare and education to construction and engineering. We provide a bespoke printing & embroidery service so, whether you're looking for a handful of items or thousands of branded uniforms, our expertise and state-of-the-art decorative centre will bring your branding to life.","Retail Apparel and Fashion","11-50 employees","Privately Held","Newport","United States","workwearsupermarket.com","https://www.linkedin.com/company/workwear-supermarket"
,"Bungalow Clothing","Personalized Online Shopping

Bungalow Clothing gives you a personal shopping experience right from the comfort of your own home. We know about the headaches and anxiety currently associated with the online shopping experience.  The Bungalow experience is user friendly and stress free, and gets you the clothes –whether for play or work – that are right for you.  You are paired with one of our incredible personal stylists who work with you to deliver a Dressing Room right to your doorstep.  What’s better is that at Bungalow Clothing we believe the current online shopping model is unnecessarily cumbersome and stressful, so we only make you pay for the items you keep. We provide the shipping labels and tape and your returns will be picked-up directly from your home or office.

Styling by a Professional, High-Quality Clothing From Top Designers, No Pre-Pay and No-Hassle Returns. There's No Catch. Just The Way It Should Be!","Retail Apparel and Fashion","11-50 employees","Privately Held","Las Vegas, NV","United States","bungalowclothing.com","https://www.linkedin.com/company/bungalow-clothing"
,"The Custom Suit Shop","They say you get what you pay for, but in this case, you get significantly more. 

The Custom Suit Shop gives men and women an opportunity to purchase a high quality, custom made suit, for a price comparable to something off the rack at any department store. Our opening price point is $295. You will not find a better quality suit for less money, period.

The Custom Suit Shop owners and long-time men’s custom clothiers Louie Morgan and Brian Smith, motivated by the economic downturn, made it their mission to find a way to make custom clothing more affordable. Through extensive experience, resources and industry contacts, The Custom Suit Shop was born, having created a nicely tailored, intricately detailed, custom made suit, that almost anyone can afford.  

Our suit will fit better and have superior construction to any suit found where the gruff voiced, toupee wearing man with a warehouse guarantees it, where a man named Joseph promises that you will look like a banker when you buy 4 suits for the price of one, and where brooks and his brother tell you that if you pay a little more you will have the finest suit in town. 

Visit our website to schedule your free consultation.","Retail Apparel and Fashion","11-50 employees","Privately Held","Marietta, GA","United States","customsuitshop.com","https://www.linkedin.com/company/the-custom-suit-shop"
,"STEAL DEAL INC","Off price specialist since 2002.  We have customer's which range from 1 store mom and pops,  all the way to huge publicly traded dept stores.","Apparel and Fashion","11-50 employees","Privately Held",,"United States","stealdeal.com","https://www.linkedin.com/company/steal-deal-inc"
,"Dress BLANK","Dress BLANK is a company based out of Freehold, NJ","Retail Apparel and Fashion","11-50 employees","Self Owned","Brick, New Jersey","United States","dressblank.com","https://www.linkedin.com/company/dress-blank"
,"Pleneri","Design Smarter. Produce Better. Make a Positive Impact. We are revolutionizing clothing manufacturing through a network of U.S. based smart factories. Now, independent designers and influencers have access to the same manufacturing and design capabilities as large corporations. Accessed through our proprietary FITos mobile app and executed through our AI assisted digital lean manufacturing, we have reduced time to market by 60%. We are bringing sustainable apparel manufacturing back to the United States. 

Pleneri was developed to be different. To not just make apparel, but to reimagine the process and increase access to a timely and higher quality product. Down to our core, we appreciate and admire the art of production, of creating something. The art is not lost in Pleneri's mission.

And of course, our team is what makes this all possible. We have assembled the right kind of industry talent, leaders who knew how broken the apparel supply chains had become, and who are dedicated to shaking it up. They bring experience, innovative thinking, and true passion.","Apparel Manufacturing","11-50 employees","Privately Held","Conover, North Carolina","United States","pleneri.com","https://www.linkedin.com/company/pleneriapparel"
,"Launch Fashion Management","Launch Fashion Management is a sales management and strategy agency with head offices in both Sydney and Melbourne, Australia. We provide our clients with elite level services backed by years of unparalleled experience and results.","Apparel and Fashion","11-50 employees","Privately Held","Richmond","United States","launchmanagement.com.au","https://www.linkedin.com/company/launch-fashion-management"
,"VIM & VIGR","Weaving style and quality into therapeutic threads, VIM & VIGR products are designer socks with health benefits, and designed with you in mind.

Founded in 2013, our team is committed to creating VIM & VIGR products because we have seen the amazing results firsthand. After discovering our need for compression socks — to relieve achiness or fight fatigue from too much sitting or standing — we were completely underwhelmed by the quality and the style options. So we set out to create a compression sock that made us look good and feel great.

We built our product starting with scientific insights — partnering with vascular surgeons and vein clinics. We found the right formula to create integrally knit true graduated compression, we wove it together with functional fabrics that can stand up to the daily grind and stand out in a crowd.

With so many fabrics and styles to choose from, our socks make it easy to put your best foot forward and be proactive about your health every day, all day.

With VIM & VIGR compression socks, people from all walks of life discover year-round options to help them take on their day and experience expression in compression.","Retail Apparel and Fashion","11-50 employees","Privately Held","Missoula, MT","United States","vimvigr.com","https://www.linkedin.com/company/vim-&-vigr"
,"MARION PARKE","The Marion Parke footwear collection is distinguished by its ability to discreetly pair her knowledge and experience as a foot and ankle surgeon with luxurious craftsmanship and modern style.","Apparel and Fashion","11-50 employees","Privately Held","Minneapolis, Minnesota","United States","marionparke.com","https://www.linkedin.com/company/marion-parke"
,"G/FORE","Born in Los Angeles but bred with a global perspective, G/FORE was conceptualized with a passion for modern design combined with a love of golf. Distinguished by our attention to detail, sophisticated ease, playful nature, youthful energy and sense of humor. We consistently strive to make a powerful and colourful impact on our favourite game. We take inspiration from art, architecture, modern design, and colourful narratives. Our intent is to disrupt the industry without being disrespectful to the sport and its rich traditions.
When we first made our signature coloured gloves, we tweaked everything from the dye method to the stitching on each fingertip until we had a product that we felt was worthy of the game. This detail-obsessed development process still happens with every new product that bears the G/FORE marque.","Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, California","United States","gfore.com","https://www.linkedin.com/company/g-fore"
,"Tail Activewear","For 45 years, Tail Activewear has been bringing the best in fit, fabric, and fashion to the world of women's active apparel. The result of our unwavering dedication to our customers is a fabulous, fashionable wardrobe that will have them looking their best for a round of golf, a tennis match, traveling, or even just running errands around town. We know you'll love the way you look and feel in Tail.


*All wholesale promotional sales programs are valid for accounts based in the United States only. No promotional sales programs are applicable towards taxes or shipping & handling charges. Promotional sales programs advertised may require a minimum purchase to qualify. Available while supplies last. All promotional sales programs may be modified or discontinued at any time without notice. Duke & Co. is the exclusive Canadian distributor for Tail Activewear.
 
If you have questions, please contact us at cs@tailactivewear.com or call 800-876-8245.","Retail Apparel and Fashion","11-50 employees","Privately Held","Doral, FL","United States","tailactivewear.com","https://www.linkedin.com/company/tail-activewear"
,"Parks Project","Leave It Better Than You Found It. 

Our goal is to protect and preserve parklands for generations to come by educating, advocating, volunteering, and activating park supporters to get involved in conservation. 

To date, Parks Project has contributed over $2,600,000 to help fund vital projects in National Parks around the US. 

Learn more about our contributions here: https://www.parksproject.us/pages/parks-project-our-contribution","Retail Apparel and Fashion","11-50 employees","Privately Held","Culver City, California","United States","parksproject.us","https://www.linkedin.com/company/parksproject"
,"Howler Brothers ","We are Howler Brothers. We are not really related by blood. But we are bonded by many shared callings: Surfing, fishing, paddling and the good things that come with these pursuits. Things like fire pits, really good tequila, limes, and pre-dawn coffee.

Above all we’re united by a belief in doing things the honest and pure way (which is not usually the easy way). We design and craft all our garments, and everything we make, with these passions and values in mind. Put our products to the test. 

HEED THE CALL 
www.howlerbros.com","Retail Apparel and Fashion","11-50 employees","Privately Held","Austin, TX","United States","howlerbros.com","https://www.linkedin.com/company/howlerbros"
,"ALEXIS","ALEXIS embraces a modern feminine aesthetic that is at once striking, sophisticated, and at ease. 

Established in 2008 by mother-daughter team, Ana & Alexis Barbara, ALEXIS was born out of a desire to celebrate all aspects of femininity. Each collection takes inspiration from the global travels and daily lives of Ana and Alexis to create a wardrobe of flawlessly executed garments that reflect a woman's desire to be seen and to feel confident and chic in her increasingly demanding life. 

Our garments channel both romance and adventure, exude elegance and ease, and serve as the perfect canvas for a woman to express her personal style.","Retail Apparel and Fashion","11-50 employees","Privately Held","Miami, Florida","United States","shopalexis.com","https://www.linkedin.com/company/shop-alexis"
,"Casablanca Bridal","Casablanca Bridals, Incorporated was established in 1997 by a husband and wife team, and has since become one of the fastest growing and most well-known manufacturers of bridal gowns in the industry, now with four different lines and a selection of bridal accessories. Casablanca Bridal is committed to designing and manufacturing bridal gowns that reflect superb quality, original design and attention to detail. The privately owned factory allows Casablanca Bridal to ensure all phases of production from start to finish are completed to our exact standards. Every gown is made to order; there is pride in the fact that these gowns are not mass-produced. 

The company’s corporate headquarters are located in Anaheim, California. This office includes a warehouse with shipping department, a call center with customer service department, the marketing and sales departments and accounting staff. Employees enjoy perks such as generous medical, dental and vision plans, 401(k) and paid vacation and sick time. The owners also offer hospitality and appreciation in the form of Employee of The Month incentives, birthday lunches, annual summer events and holiday celebrations and more.  

In addition to the corporate headquarters which houses several dozen employees, Casablanca Bridal also has a staff of independent sales representatives all around the world, along with a flagship store in Newport Beach, and an affiliated faith-based nonprofit organization known as Celebrate Forever. 

If you are interested in employment opportunities with Casablanca Bridal, be sure to follow our page here for updates as openings arise. In the meantime, you can also find more information about our company and our products on our website.","Retail Apparel and Fashion","11-50 employees","Privately Held","Anaheim, California","United States","casablancabridal.com","https://www.linkedin.com/company/casablanca-bridal"
,"12th Tribe","Explore with us and channel your inner confident self. This tribe craves adventure, confidently tackles everyday and stands out doing it.","Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, CA","United States","12thtribe.com","https://www.linkedin.com/company/12th-tribe"
,"Roark","The chase for Roark began out of a desire to tell stories born of adventure and discovery in the form of a man - he’s the bar-brawling adventurer that disappears into Mexico for six months camping, only to surface in Paris drinking Bordeaux with a diplomat’s daughter. Each season we find Roark in a different part of the world, telling stories of his exploits within our product, on social platforms and in a printed book at retail. Inspired by the culture and climate of Roark’s destination, we produce two collections per year of clothing, luggage and trinkets - the artifacts of adventure. The product and stories we create empower people to discover self through authentic, irreverent, dangerous and purposeful adventure on the road less traveled.","Retail Apparel and Fashion","11-50 employees","Privately Held","Laguna Beach, CA","United States","roark.com","https://www.linkedin.com/company/roarkrevival"
,"Love in Faith","Founders, Dave and Katie, met back in 2017. Brought together by their shared love for Jesus and their entrepreneurial spirit, they decided to start an online business that would make an impact in their community, something that would bring people together in a big way. They decided to start a clothing brand where the love of Jesus would be at the forefront. 

Growing up in the Christian community, they were discouraged by the faith-based apparel that was available to them. They were met with bland, impersonal Christian clothing that didn’t really reflect the fun and enthusiasm of being a believer in Christ. It was time they created their own faith-based apparel that showcased the unparalleled energy and joy that the Christian community had to offer—something that people would actually like to wear! 

They set off to work, learning as they went, spending every spare minute they could to grow the business in their own home. They worked tirelessly, often clocking in their workdays at 18 hours, 6 days a week, only taking days off to observe the Sabbath. At first, they were shipping orders out of their home, with the orders piling up and up and up on their kitchen counters. They knew something needed to change. They needed space—and a team to support their vision, too.

Since then, Love in Faith has become a beloved global brand. They’ve revolutionized what faith-based apparel can do for the community. With countless design options for clothing and accessories, they’ve provided a fun yet stylish way for believers to be supported in their faith, as well as a way to share the love of Jesus with the world. Through their passion to give back and be a source of hope, they’ve certainly proved that faith is always in style.

Interested in joining the team? View our Careers Page Here: https://apply.workable.com/love-in-faith-1/","Retail Apparel and Fashion","11-50 employees","Privately Held","Anaheim, CA","United States","loveinfaith.life","https://www.linkedin.com/company/love-in-faith"
,"Love Your Melon","Love Your Melon is an apparel brand dedicated to the fight against pediatric cancer. 50% of net profit is given to nonprofit organizations that lead the way in groundbreaking research, therapeutic experiences, and family support. #JoinTheFight","Retail Apparel and Fashion","11-50 employees","Privately Held","Minneapolis, Minnesota","United States","loveyourmelon.com","https://www.linkedin.com/company/love-your-melon"
,"Rhoback","Rhoback is a lifestyle activewear brand built for those who #craveactivity.","Retail Apparel and Fashion","11-50 employees","Privately Held","Charlottesville, Virginia","United States","rhoback.com","https://www.linkedin.com/company/rhoback"
,"Daydreamer Los Angeles","Daydreamer creates ultra comfortable clothes for authentic people. Every one of our pieces has a deeper meaning behind it because we believe in feeling good about what you wear.","Retail Apparel and Fashion","11-50 employees","Privately Held","Los Angeles, California","United States","daydreamerla.com","https://www.linkedin.com/company/daydreamer-la"
,"Bandit","Community-Centered Running Apparel
Brooklyn, NY","Retail Apparel and Fashion","11-50 employees","Privately Held","Brooklyn, New York","United States","banditrunning.com","https://www.linkedin.com/company/banditrunning"
,"melin","melin is a Southern California premium lifestyle brand with a mission to innovate and elevate the world of headwear. We set out to make the best hats in the world for the best days of your life. The three pillars within our logo stand for materials, details and innovation.

The World's Most Premium Headwear.  #havemorefun

www.melin.com
www.instagram.com/melin","Retail Apparel and Fashion","11-50 employees","Privately Held","San Clemente, California","United States","melin.com","https://www.linkedin.com/company/melin"
,"Cardin McCoy","Stylish Graphic Tees and Footwear for Kids!","Retail Apparel and Fashion","11-50 employees","Privately Held","Fernandina Beach, Florida","United States","cardinmccoy.com","https://www.linkedin.com/company/cardin-mccoy"
