"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Olvera's Painting","✅ Olvera's Painting","Olvera's Painting","Olveraâs Painting is the premium Texas City painting company based in Garland, TX specializing in interior/exterior painting, pressure washing & drywall repairs & replacement services. Our mission is to bring quality craftsmanship at affordable prices, while being eco-friendly at the same time. We strive to bring comfort and pleasure to your house as one of the most proficient painting contractors in Garland, TX.","Chemical Manufacturing","11-50 employees","Public Company","garland, tx","United States","olveraspaintingtx.com","https://www.linkedin.com/company/olvera's-painting",,,,,
,"Indiana Rubber & Plastics Company, Inc.","✅ Indiana Rubber & Plastics Company","Indiana Rubber & Plastics Company",,"Chemical Manufacturing","11-50 employees",,"Arcadia, Indiana","United States","indianarp.com","https://www.linkedin.com/company/indiana-rubber-&-plastics-company-inc.",,,,,
,"Zhongding USA Cadillac, Inc.","✅ Zhongding USA Cadillac","Zhongding USA Cadillac",,"Chemical Manufacturing","11-50 employees",,"Cadillac, Michigan","United States","michigan-rubber.com","https://www.linkedin.com/company/zhongding-usa-cadillac-inc.",,,,,
,"Sparkle Clean Laundry & Dry Cleaners","✅ Sparkle Clean Laundry & Dry Cleaners","Sparkle Clean Laundry & Dry Cleaners","Spectrum Commercial Cleaner: Formulated for heavy duty home and industrial cleaning.","Chemical Manufacturing","11-50 employees",,"Elmira, New York","United States","sparkleclean.com","https://www.linkedin.com/company/sparkle-clean-laundry-&-dry-cleaners",,,,,
,"CHEMICAL & METAL INDUSTRIES, INC.","✅ CHEMICAL & METAL INDUSTRIES","CHEMICAL & METAL INDUSTRIES",,"Chemical Manufacturing","11-50 employees",,"HUDSON, Colorado","United States","guidechem.com","https://www.linkedin.com/company/chemical-&-metal-industries-inc.",,,,,
,"Reef Chemicals","✅ Reef Chemicals","Reef Chemicals",,"Chemical Manufacturing","11-50 employees",,"Hobbs, New Mexico","United States",,"https://www.linkedin.com/company/reef-chemicals",,,,,
,"Worthen Coated Fabrics","✅ Worthen Coated Fabrics","Worthen Coated Fabrics","Worthen Industries is a chemical and technology manufacturer of high quality industrial adhesives & coatings, extruded films, and coated substrates.","Chemical Manufacturing","11-50 employees",,"Grand Rapids, Michigan","United States","worthenindustries.com","https://www.linkedin.com/company/worthen-coated-fabrics",,,,,
,"Cerac Inc","✅ Cerac","Cerac","In early 2011 the ultimate parent company of Cerac Inc. changed its name to Materion Corporation to promote a unified organisational structure to its worldwide market. Cerac Inc. has become part of...","Chemical Manufacturing","11-50 employees",,"Farmington, New Hampshire","United States","abscomaterials.com","https://www.linkedin.com/company/cerac-inc",,,,,
,"Reliable Exterminating","✅ Reliable Exterminating","Reliable Exterminating","Our Name Says It All.","Chemical Manufacturing","11-50 employees",,"Atlanta, Georgia","United States","callreexpr.com","https://www.linkedin.com/company/reliable-exterminating",,,,,
,"MILL-CHEM MANUFACTURING, INC.","✅ MILL-CHEM MANUFACTURING","MILL-CHEM MANUFACTURING",,"Chemical Manufacturing","11-50 employees",,"High Point, North Carolina","United States",,"https://www.linkedin.com/company/mill-chem-manufacturing-inc.",,,,,
,"Mosaic Phosphates Co.","✅ Mosaic Phosphates","Mosaic Phosphates",,"Chemical Manufacturing","501-1,000 employees",,"Lake Forest, Illinois","United States",,"https://www.linkedin.com/company/mosaic-phosphates-co.",,,,,
,"Southside Flooring","✅ Southside Flooring","Southside Flooring","South Side Flooring & Rugs Ltd. was founded in 2007 in Delta B.C., and specializes in environmentally responsible floor covering options that?s bound to suit everyones needs.","Chemical Manufacturing","11-50 employees",,"Morgan Hill, California","United States","southsideflooring.ca","https://www.linkedin.com/company/southside-flooring",,,,,
,"Wiltec Research Company Inc","✅ Wiltec Research Company","Wiltec Research Company",,"Chemical Manufacturing","11-50 employees",,"Provo, Utah","United States","wiltecresearch.com","https://www.linkedin.com/company/wiltec-research-company-inc",,,,,
,"Centrome, Inc.","✅ Centrome","Centrome",,"Chemical Manufacturing","11-50 employees",,"Totowa, New Jersey","United States","adv-bio.com","https://www.linkedin.com/company/centrome-inc.",,,,,
,"Business Food Solutions","✅ Business Food Solutions","Business Food Solutions",,"Chemical Manufacturing","11-50 employees",,"Tulsa, Oklahoma","United States","businessfoodsolutions.com","https://www.linkedin.com/company/business-food-solutions",,,,,
,"Hair R Us","✅ Hair R Us","Hair R Us",,"Chemical Manufacturing","11-50 employees",,"Toledo, Ohio","United States",,"https://www.linkedin.com/company/hair-r-us",,,,,
,"Ashland Plastics Inc","✅ Ashland Plastics","Ashland Plastics",,"Chemical Manufacturing","11-50 employees",,"Ashland, Ohio","United States",,"https://www.linkedin.com/company/ashland-plastics-inc",,,,,
,"Flexible Products Co","✅ Flexible Products","Flexible Products",,"Chemical Manufacturing","11-50 employees",,"Waterford, Michigan","United States",,"https://www.linkedin.com/company/flexible-products-co",,,,,
,"MACHADO BACKHOE, INC.","✅ MACHADO BACKHOE","MACHADO BACKHOE",,"Chemical Manufacturing","11-50 employees",,"Stevinson, California","United States",,"https://www.linkedin.com/company/machado-backhoe-inc.",,,,,
,"Alliance Barrier Films LLC","✅ Alliance Barrier Films","Alliance Barrier Films",,"Chemical Manufacturing","11-50 employees",,"Washington, Indiana","United States","alliancebarrierfilms.com","https://www.linkedin.com/company/alliance-barrier-films-llc",,,,,
,"K","✅ K","K","tt","Chemical Manufacturing","11-50 employees",,"Cleve, Ohio","United States","wwweeeeeeeeeeeeeeeeeeeeeeee.com","https://www.linkedin.com/company/kinzua-environmental-inc",,,,,
,"Pacific Coast Anodizing","✅ Pacific Coast Anodizing","Pacific Coast Anodizing",,"Chemical Manufacturing","11-50 employees",,"Fresno, California","United States",,"https://www.linkedin.com/company/pacific-coast-anodizing",,,,,
,"MelaColl Cellulose Ether Manufacturer","✅ MelaColl Cellulose Ether Manufacturer","MelaColl Cellulose Ether Manufacturer","Cellulose ether is Mikem’s core business and most competitive product line. MelaColl cellulose ether products include Hydroxypropyl Methylcellulose (HPMC), Hydroxyethyl Methyl Cellulose (HEMC), and Hydroxyethyl Cellulose (HEC). Mikem also offers Redispersible Polymer Powder (RDP) under the trademark of Mikrant, forming a complementary technology to the cellulose ether portfolio.","Chemical Manufacturing","51-200 employees","Privately Held","Dallas","United States","melacoll.com","https://www.linkedin.com/company/melacoll-cellulose-ether",,,,,
,"Knight Enterprises, Inc.","✅ Knight Enterprises","Knight Enterprises","Since 1968, Our Team Has Succeeded In Understanding The Needs Of The Industry And Creating Reliable Products To Serve Them All.  We are a family owned business 3 generations strong. Knight Norros specializes in development and manufacturing of high-quality industrial chemical and raw materials. Our vast experience and excellent facilities allow us to offer a wide range of production solutions in a wide range of areas, from the design stage to mass production and packaging. We are committed to providing our clients with the highest quality products  and services  in all production stages and final results.  We give great emphasis to compliance and customer service.  Our main goal is to always remain innovative as well as  professional, and to always align ourselves with cutting edge products and technology.","Chemical Manufacturing","11-50 employees","Public Company","Northlake, Illinois","United States","knightnorros.com","https://www.linkedin.com/company/knight-enterprises-inc",,,,,
,"Omni Industrial Service","✅ Omni Industrial Service","Omni Industrial Service",,"Chemical Manufacturing","11-50 employees",,"Houston, Texas","United States","omni-is.com","https://www.linkedin.com/company/omni-industrial-service",,,,,
,"Avon Rubber & Plastics, Inc.","✅ Avon Rubber & Plastics","Avon Rubber & Plastics",,"Chemical Manufacturing","201-500 employees",,"Cadillac, Michigan","United States",,"https://www.linkedin.com/company/avon-rubber-&-plastics-inc.",,,,,
,"Rhino Pest Control","✅ Rhino Pest Control","Rhino Pest Control","Rhino Pest Control is the leading local pest control service provider in Los Angeles and surrounding areas. With over 14 years of experience, our goal is to provide quality service at affordable cost to both residential and commercial customers. 

We offer full service pest removal packages, one-time extermination plans, along with monthly maintenance plans.","Chemical Manufacturing","11-50 employees","Privately Held","Los Angeles, California","United States","rhinopestcontrol.net","https://www.linkedin.com/company/rhino-pest-control",,,,,
,"ACTELION PHARMACEUTICALS US 5000 SHORELINE COURT","✅ ACTELION PHARMACEUTICALS US 5000 SHORELINE COURT","ACTELION PHARMACEUTICALS US 5000 SHORELINE COURT",,"Chemical Manufacturing","51-200 employees",,"South San Francisco, California","United States",,"https://www.linkedin.com/company/actelion-pharmaceuticals-us-5000-shoreline-court",,,,,
,"Pure Terpenes","✅ Pure Terpenes","Pure Terpenes","Pure Terpenes draws on its experience in cannabis genetics, pharmaceutical methods extraction, farming & premium contract farming, and vast resources of its affiliate companies into its State of the Art craft Pure Terpenes!

Our Mission:  Terpenes that taste and smell just like the Flower they were extracted from!  

Reach out and connect!  You be the judge and try one of our premium products:
+ CDT Cannabis Derived Terpenes
+ Raw High Terpenes Extract/HTE - super cold extracted raw direct from the flower
+ BDT Natural Botanical Strain Blends
+ INFused CDT or BDT's with Palate Flavor & Aroma Booster
+ PALate Flavor & Aroma Booster line","Chemical Raw Materials Manufacturing","11-50 employees","Privately Held","Plymouth , Michigan","United States","purebiologixcbd.com","https://www.linkedin.com/company/pure-terpenes",,,,,
,"JET-HOT, INC.","✅ JET-HOT","JET-HOT","Ceramic Coatings for High Performance. Safe Guard Your Parts Against Rust, Corrosion and Dings. Increase Your Horsepower by Reducing Friction.","Chemical Manufacturing","11-50 employees",,"Burlington, North Carolina","United States","ncoat.com","https://www.linkedin.com/company/jet-hot-inc.",,,,,
,"B B Chemicals","✅ B B Chemicals","B B Chemicals",,"Chemical Manufacturing","11-50 employees",,"Pampa, Texas","United States",,"https://www.linkedin.com/company/b-b-chemicals",,,,,
,"KEMTECH CHEMICALS LTD","✅ KEMTECH CHEMICALS","KEMTECH CHEMICALS",,"Chemical Manufacturing","11-50 employees",,"Ixonia, WI","United States","kem-tech.com","https://www.linkedin.com/company/kemtech-chemicals-ltd",,,,,
,"Arcs Foundation Inc","✅ Arcs Foundation","Arcs Foundation",,"Chemical Manufacturing","11-50 employees",,"San Francisco, California","United States","arcsfoundation.org","https://www.linkedin.com/company/arcs-foundation-inc",,,,,
,"D. B. Western, Inc.","✅ D. B. Western","D. B. Western",,"Chemical Manufacturing","51-200 employees",,"North Bend, Oregon","United States","dbwestern.com","https://www.linkedin.com/company/d.-b.-western-inc.",,,,,
,"Fabriclean Supply of Houston Ltd","✅ Fabriclean Supply of Houston","Fabriclean Supply of Houston",,"Chemical Manufacturing","11-50 employees",,"Baton Rouge, LA","United States",,"https://www.linkedin.com/company/fabriclean-supply-of-houston-ltd",,,,,
,"Metachem Resins Corp","✅ Metachem Resins","Metachem Resins",,"Chemical Manufacturing","11-50 employees",,"West Warwick, RI","United States",,"https://www.linkedin.com/company/metachem-resins-corp",,,,,
,"Norian Inc","✅ Norian","Norian","With Norian | Nice powder create good pieces! 

Leading manufacturer and supplier of high-tech material surface treatment solutions, as an expert in the production of super-hard diamond powder.

Help you achieve excellent precision and superior results in your projects.","Chemical Manufacturing","11-50 employees","Privately Held","Irvine, California","United States","norian.com","https://www.linkedin.com/company/norian-inc",,,,,
,"SK Energy & Chemical, Inc.","✅ SK Energy & Chemical","SK Energy & Chemical",,"Chemical Manufacturing","11-50 employees",,"Fair Lawn, New Jersey","United States",,"https://www.linkedin.com/company/sk-energy-&-chemical-inc.",,,,,
,"Geminx Biotechnologies","✅ Geminx Biotechnologies","Geminx Biotechnologies",,"Chemical Manufacturing","11-50 employees",,"Malvern, Pennsylvania","United States",,"https://www.linkedin.com/company/geminx-biotechnologies",,,,,
,"SPRAY ON PRODUCTS, INC.","✅ SPRAY ON PRODUCTS","SPRAY ON PRODUCTS","Spray On Bedliner - Truck Bedliner: Bedliner Chemicals, Also Used As Industrial Coatings. Spray Chemicals & Cartridge Systems. Wholesale Bedliner & Bedliner Distributor Throughout The U.S - Dallas, Austin, San Antonio, Fort Worth, Wichita, & More.","Chemical Manufacturing","11-50 employees",,"Houston, Texas","United States","sprayonproducts.com","https://www.linkedin.com/company/spray-on-products-inc.",,,,,
,"American Gasket & Rubber Company","✅ American Gasket & Rubber","American Gasket & Rubber",,"Chemical Manufacturing","11-50 employees",,"Schaumburg, Illinois","United States",,"https://www.linkedin.com/company/american-gasket-&-rubber-company",,,,,
,"JF DALEY INTERNATIONAL","✅ JF DALEY INTERNATIONAL","JF DALEY INTERNATIONAL",,"Chemical Manufacturing","11-50 employees",,"CHICAGO, Illinois","United States",,"https://www.linkedin.com/company/jf-daley-international",,,,,
,"Hahl, Inc.","✅ Hahl","Hahl",,"Chemical Manufacturing","51-200 employees",,"Lexington, South Carolina","United States",,"https://www.linkedin.com/company/hahl-inc.",,,,,
,"Chemton Industries","✅ Chemton Industries","Chemton Industries",,"Chemical Manufacturing","11-50 employees",,"Chicago, Illinois","United States",,"https://www.linkedin.com/company/chemton-industries",,,,,
,"Accent Pest Control Inc","✅ Accent Pest Control","Accent Pest Control",,"Chemical Manufacturing","11-50 employees",,"Bartlesville, Oklahoma","United States","accentpest.com","https://www.linkedin.com/company/accent-pest-control-inc",,,,,
,"Claire-Sprayway, Inc.","✅ Claire-Sprayway","Claire-Sprayway","Claire manufactures a complete line of quality aerosols, including insecticides, disinfectants, cleaners, polishes, and its well-known extensive line of metered and handheld air fresheners.","Chemical Manufacturing","51-200 employees",,"Addison, Illinois","United States","clairemfg.com","https://www.linkedin.com/company/claire-sprayway-inc.",,,,,
,"Moulds Plus International USA, Inc.","✅ Moulds Plus International USA","Moulds Plus International USA",,"Chemical Manufacturing","11-50 employees",,"Santa Ana, California","United States","ultrapurge.com","https://www.linkedin.com/company/moulds-plus-international-usa-inc.",,,,,
,"MAQUILADORA GENERAL DE MATAMOROS, S.A. DE C.V.","✅ MAQUILADORA GENERAL DE MATAMOROS, S.A. DE C.V.","MAQUILADORA GENERAL DE MATAMOROS, S.A. DE C.V.",,"Chemical Manufacturing","51-200 employees",,"Bristol, Pennsylvania","United States",,"https://www.linkedin.com/company/maquiladora-general-de-matamoros-s.a.-de-c.v.",,,,,
,"Worldwide Monochem Inc","✅ Worldwide Monochem","Worldwide Monochem",,"Chemical Manufacturing","11-50 employees",,"Austin, Texas","United States",,"https://www.linkedin.com/company/worldwide-monochem-inc",,,,,
,"Chemicals and Supplies","✅ Chemicals and Supplies","Chemicals and Supplies",,"Chemical Manufacturing","11-50 employees",,"Muskogee, Oklahoma","United States",,"https://www.linkedin.com/company/chemicals-and-supplies",,,,,
,"Watson Standard Industrial Coatings, Inc.","✅ Watson Standard Industrial Coatings","Watson Standard Industrial Coatings",,"Chemical Manufacturing","11-50 employees",,"Melrose Park, Illinois","United States","deltacoating.com","https://www.linkedin.com/company/watson-standard-industrial-coatings-inc.",,,,,
,"Northern Chemical Inc","✅ Northern Chemical","Northern Chemical",,"Chemical Manufacturing","11-50 employees",,"Williston, North Dakota","United States","northernchemical.com","https://www.linkedin.com/company/northern-chemical-inc",,,,,
,"Monterey Chemical Co.","✅ Monterey Chemical","Monterey Chemical",,"Chemical Manufacturing","11-50 employees",,"Fresno, California","United States","montereychemical.com","https://www.linkedin.com/company/monterey-chemical-co-",,,,,
,"Toiletries Unlimited","✅ Toiletries Unlimited","Toiletries Unlimited",,"Chemical Manufacturing","11-50 employees",,"Woodland Hills, California","United States",,"https://www.linkedin.com/company/toiletries-unlimited",,,,,
,"Roberts Consolidated","✅ Roberts Consolidated","Roberts Consolidated",,"Chemical Manufacturing","11-50 employees",,"Boca Raton, FL","United States","robertsconsolidated.com","https://www.linkedin.com/company/roberts-consolidated",,,,,
,"Attic Pablo Insulation Services","✅ Attic Pablo Insulation Services","Attic Pablo Insulation Services","What happens if you have poor insulation?
Attic insulation prevents the outside temperature from entering your house and keeping the inside temperature constant. This waves off the load on your heating device, and they do not have to work vigorously. However, if this insulation is ripped or damaged, you might notice that your energy bills are suddenly going up.
Insulation Companies in Oakland, CA, use two types of attic materials:
• Fiberglass
• Cellulose

Contact us now for professional services!","Chemical Manufacturing","201-500 employees","Public Company","Oakland, California","United States","atticpabloinsulation.com","https://www.linkedin.com/company/attic-pablo-insulation-services",,,,,
,"COASTAL READY MIX CONCRETE CO INC","✅ COASTAL READY MIX CONCRETE CO","COASTAL READY MIX CONCRETE CO",,"Chemical Manufacturing","11-50 employees",,"Nags Head, North Carolina","United States",,"https://www.linkedin.com/company/coastal-ready-mix-concrete-co-inc",,,,,
,"CHEMICAL SERVICES GROUP, INC","✅ CHEMICAL SERVICES GROUP","CHEMICAL SERVICES GROUP",,"Chemical Manufacturing","51-200 employees",,"Twinsburg, Ohio","United States",,"https://www.linkedin.com/company/chemical-services-group-inc",,,,,
,"Whittaker Clark Daniels","✅ Whittaker Clark Daniels","Whittaker Clark Daniels",,"Chemical Manufacturing","11-50 employees",,"Plainfield, Illinois","United States",,"https://www.linkedin.com/company/whittaker-clark-daniels",,,,,
,"Metal Chem inc.","✅ Metal Chem","Metal Chem","Metal Chem exclusively designs and develops electroless nickel and supporting processes. We are recognized as the volume leader in North America and our products are recognized as the best available in today's market.","Chemical Manufacturing","11-50 employees","Privately Held","Greenville, South Carolina","United States","metalchem-inc.com","https://www.linkedin.com/company/metal-chem-inc",,,,,
,"RICHARD PAINT MANUFACTURING COMPANY","✅ RICHARD PAINT MANUFACTURING","RICHARD PAINT MANUFACTURING",,"Chemical Manufacturing","51-200 employees",,"Rockledge, Florida","United States",,"https://www.linkedin.com/company/richard-paint-manufacturing-company",,,,,
,"General Foam Plastics Corporation","✅ General Foam Plastics","General Foam Plastics","We specialize in all your seasonal and backyard decorating needs. Specializing in Christmas trees, garland, blow molded items including seasonal figurines and decorations for Christmas and Halloween and indoor and outdoor topiaries. Also swimming pools and indoor/outdoor ponds.","Chemical Manufacturing","51-200 employees",,"Norfolk, Virginia","United States","genfoam.com","https://www.linkedin.com/company/general-foam-plastics-corporation",,,,,
,"Cleary Chemical Corporation","✅ Cleary Chemical","Cleary Chemical",,"Chemical Manufacturing","11-50 employees",,"South Brunswick Township, New Jersey","United States",,"https://www.linkedin.com/company/cleary-chemical-corporation",,,,,
,"Uncommon Scents at the Meridian","✅ Uncommon Scents at the Meridian","Uncommon Scents at the Meridian","Are you looking for a fragrance store in Eugene, Oregon? Uncommon Scents at the Meridian is your destination for custom fragrances and body care products.","Chemical Manufacturing","11-50 employees",,"Eugene, Oregon","United States","uncommonscentsmeridian.com","https://www.linkedin.com/company/uncommon-scents-at-the-meridian",,,,,
,"WAYSIDE GLASS & MIRROR CO INC","✅ WAYSIDE GLASS & MIRROR CO","WAYSIDE GLASS & MIRROR CO","Wayside Glass in Marlbourgh, MA provides commercial store front design, new and replacement windows and doors for commercial and residential buildings in Boston Metro-West and beyond.","Chemical Manufacturing","11-50 employees",,"Marlborough, Massachusetts","United States","waysideglass.com","https://www.linkedin.com/company/wayside-glass-&-mirror-co-inc",,,,,
,"Morflex Inc","✅ Morflex","Morflex",,"Chemical Manufacturing","11-50 employees",,"Greensboro, North Carolina","United States","morflex.com","https://www.linkedin.com/company/morflex-inc",,,,,
,"Enfinger Pest Control, LLC","✅ Enfinger Pest Control","Enfinger Pest Control","Dan and Ken Enfinger started this family-owned company in 1997. It has grown from a small company of 200 customers to over 3000 and is growing daily. We service residential, commercial, and government properties.","Chemical Manufacturing","11-50 employees","Self Owned","Ozark, Alabama","United States",,"https://www.linkedin.com/company/enfinger-pest-control",,,,,
,"T.H. AGRI-CHEMICALS, INC.","✅ T.H. AGRI-CHEMICALS","T.H. AGRI-CHEMICALS",,"Chemical Manufacturing","11-50 employees",,"PLAINFIELD, Wisconsin","United States","thagrichemicals.com","https://www.linkedin.com/company/t.h.-agri-chemicals-inc.",,,,,
,"Southern Technical Svc","✅ Southern Technical Svc","Southern Technical Svc",,"Chemical Manufacturing","11-50 employees",,"Clute, Texas","United States","southernservices.org","https://www.linkedin.com/company/southern-technical-svc",,,,,
,"Unocal Chemical Div","✅ Unocal Chemical Div","Unocal Chemical Div",,"Chemical Manufacturing","11-50 employees",,"Carteret, New Jersey","United States",,"https://www.linkedin.com/company/unocal-chemical-div",,,,,
,"Technical Sales & Services","✅ Technical Sales & Services","Technical Sales & Services",,"Chemical Manufacturing","11-50 employees",,"Santa Ana, California","United States",,"https://www.linkedin.com/company/technical-sales-&-services",,,,,
,"W.F. Taylor Co., Inc.","✅ W.F. Taylor Co.","W.F. Taylor Co.","Taylor is a leading adhesives and coatings manufacturer for the floor covering industry. Offering unique, effective solutions, Taylor products can help keep your projects on time and budget. Taylor covers all your bases with its advanced adhesives, 1-part moisture mitigation systems and specialty products.","Chemical Manufacturing","51-200 employees",,"Fontana, California","United States","wftaylor.com","https://www.linkedin.com/company/w.f.-taylor-co.-inc.",,,,,
,"SUDARSHAN NORTH AMERICA, INC","✅ SUDARSHAN NORTH AMERICA","SUDARSHAN NORTH AMERICA",,"Chemical Manufacturing","11-50 employees",,"Ridgewood, New Jersey","United States",,"https://www.linkedin.com/company/sudarshan-north-america-inc",,,,,
,"CTWS, LLC","✅ CTWS","CTWS",,"Chemical Manufacturing","51-200 employees",,"Riverside, California","United States",,"https://www.linkedin.com/company/ctws-llc",,,,,
,"Forty Eight","✅ Forty Eight","Forty Eight",,"Chemical Manufacturing","11-50 employees",,"Milwaukee, Wisconsin","United States","fortyandeight.org","https://www.linkedin.com/company/forty-eight",,,,,
,"u Paint Pottery Studio","✅ u Paint Pottery Studio","u Paint Pottery Studio","A paint your own pottery studio in Plainfield Indiana","Chemical Manufacturing","11-50 employees",,"Plainfield, Indiana","United States","upaintpotterystudio.com","https://www.linkedin.com/company/u-paint-pottery-studio",,,,,
,"Triad Chemicals","✅ Triad Chemicals","Triad Chemicals",,"Chemical Manufacturing","11-50 employees",,"Grand River, Ohio","United States","triadchemicals.com","https://www.linkedin.com/company/triad-chemicals",,,,,
,"Braman Chemical Co","✅ Braman Chemical","Braman Chemical",,"Chemical Manufacturing","11-50 employees",,"Northampton, Massachusetts","United States",,"https://www.linkedin.com/company/braman-chemical-co",,,,,
,"Yogi Enterprise Inc","✅ Yogi Enterprise","Yogi Enterprise",,"Chemical Manufacturing","11-50 employees",,"Lexington, Kentucky","United States",,"https://www.linkedin.com/company/yogi-enterprise-inc",,,,,
,"Beller Distributing","✅ Beller Distributing","Beller Distributing",,"Chemical Manufacturing","11-50 employees",,"Clive, Iowa","United States","bgbeller.com","https://www.linkedin.com/company/beller-distributing",,,,,
,"SIMS FERTILIZER & CHEMICAL COMPANY","✅ SIMS FERTILIZER & CHEMICAL","SIMS FERTILIZER & CHEMICAL","Sims Fertilizer & Chemical carries a variety of herbicides, pesticides, and fertilizers for agricultural, personal, and maintenance use.","Chemical Manufacturing","11-50 employees",,"Osborne, Kansas","United States","simsfarm.com","https://www.linkedin.com/company/sims-fertilizer-&-chemical-company",,,,,
,"Coates Screen Inc","✅ Coates Screen","Coates Screen",,"Chemical Manufacturing","11-50 employees",,"East Rutherford, NJ","United States","coates.de","https://www.linkedin.com/company/coates-screen-inc",,,,,
,"CHEVRON PHILLIPS CHEMICAL PUERTO RICO CORE LLC","✅ CHEVRON PHILLIPS CHEMICAL PUERTO RICO CORE","CHEVRON PHILLIPS CHEMICAL PUERTO RICO CORE",,"Chemical Manufacturing","201-500 employees",,"The Woodlands, Texas","United States",,"https://www.linkedin.com/company/chevron-phillips-chemical-puerto-rico-core-llc",,,,,
,"SUREBONDER ADHESIVES, INC","✅ SUREBONDER ADHESIVES","SUREBONDER ADHESIVES",,"Chemical Manufacturing","11-50 employees",,"Wauconda, Illinois","United States",,"https://www.linkedin.com/company/surebonder-adhesives-inc",,,,,
,"MOSES LAKE INDUSTRIES INC HEALTH & WELFARE PLAN","✅ MOSES LAKE INDUSTRIES INC HEALTH & WELFARE PLAN","MOSES LAKE INDUSTRIES INC HEALTH & WELFARE PLAN",,"Chemical Manufacturing","201-500 employees",,"Moses Lake, Washington","United States",,"https://www.linkedin.com/company/moses-lake-industries-inc-health-&-welfare-plan",,,,,
,"CA ACQUISITION, LLC D/B/A CHICAGO AEROSOL, LLC","✅ CA ACQUISITION","CA ACQUISITION",,"Chemical Manufacturing","201-500 employees",,"Coal City, Illinois","United States",,"https://www.linkedin.com/company/ca-acquisition-llc-d-b-a-chicago-aerosol-llc",,,,,
,"JULINGTON CREEK PEST CONTROL I","✅ JULINGTON CREEK PEST CONTROL I","JULINGTON CREEK PEST CONTROL I",,"Chemical Manufacturing","11-50 employees",,"Saint Augustine, Florida","United States",,"https://www.linkedin.com/company/julington-creek-pest-control-i",,,,,
,"Nupro Co","✅ Nupro","Nupro",,"Chemical Manufacturing","11-50 employees",,"Salt Lake City, Utah","United States","nuprocorp.com","https://www.linkedin.com/company/nupro-co",,,,,
,"Clean All Tec Corp","✅ Clean All Tec","Clean All Tec",,"Chemical Manufacturing","11-50 employees",,"Linden, NJ","United States","cleanalltec.com","https://www.linkedin.com/company/clean-all-tec-corp",,,,,
,"Applikon Analyzers Inc","✅ Applikon Analyzers","Applikon Analyzers",,"Chemical Manufacturing","11-50 employees",,"Kingwood, Texas","United States","metrohm-applikon.com","https://www.linkedin.com/company/applikon-analyzers-inc",,,,,
,"Metal Mates Inc","✅ Metal Mates","Metal Mates",,"Chemical Manufacturing","11-50 employees",,"Waterford, Michigan","United States",,"https://www.linkedin.com/company/metal-mates-inc",,,,,
,"Columbia Engineered Rubber, Inc.","✅ Columbia Engineered Rubber","Columbia Engineered Rubber","Manufacturer of Molded Rubber and rubber to metal bonded products. Engineering / design support, compound development, rapid prototyping.","Chemical Manufacturing","51-200 employees",,"Dayton, Ohio","United States","columbiaerd.com","https://www.linkedin.com/company/columbia-engineered-rubber-inc.",,,,,
,"MERAS ENGINEERING, INC.","✅ MERAS ENGINEERING","MERAS ENGINEERING",,"Chemical Manufacturing","11-50 employees",,"MODESTO, California","United States","openfos.com","https://www.linkedin.com/company/meras-engineering-inc.",,,,,
,"PAINTRENEW, INC.","✅ PAINTRENEW","PAINTRENEW","Home - paintRENEW |","Chemical Manufacturing","11-50 employees",,"Davie, Florida","United States","paintrenew.com","https://www.linkedin.com/company/paintrenew-inc.",,,,,
,"Solargenix Energy LLC","✅ Solargenix Energy","Solargenix Energy",,"Chemical Manufacturing","11-50 employees",,"Chicago, Illinois","United States","solargenix.com","https://www.linkedin.com/company/solargenix-energy-llc",,,,,
,"Colloides Naturels Inc.","✅ Colloides Naturels","Colloides Naturels",,"Chemical Manufacturing","11-50 employees",,"Somerville, New Jersey","United States",,"https://www.linkedin.com/company/colloides-naturels-inc.",,,,,
,"IPS Structural Adhesives, Inc.","✅ IPS Structural Adhesives","IPS Structural Adhesives",,"Chemical Manufacturing","11-50 employees",,"Durham, North Carolina","United States",,"https://www.linkedin.com/company/ips-structural-adhesives-inc.",,,,,
,"THE C. P. HALL COMPANY","✅ THE C. P. HALL","THE C. P. HALL",,"Chemical Manufacturing","11-50 employees",,"Chicago, Illinois","United States",,"https://www.linkedin.com/company/the-c-p-hall-company",,,,,
,"Pfi LLC","✅ Pfi","Pfi",,"Chemical Manufacturing","11-50 employees",,"Lawrenceville, Georgia","United States",,"https://www.linkedin.com/company/pfi-llc",,,,,
,"LIFE PAINT CORPORATION","✅ LIFE PAINT","LIFE PAINT","Life Paint Company home & deck coatings. Stretch-Guard Elastomeric exterior color.","Chemical Manufacturing","11-50 employees",,"Santa Fe Springs, California","United States","lifepaint.com","https://www.linkedin.com/company/life-paint-corporation",,,,,
,"POLYMERIC RESOURCES CORP","✅ POLYMERIC RESOURCES","POLYMERIC RESOURCES",,"Chemical Manufacturing","51-200 employees",,"Wayne, New Jersey","United States",,"https://www.linkedin.com/company/polymeric-resources-corp",,,,,
