"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Hi-Mar Specialty Chemicals, L.L.C.","✅ Hi-Mar Specialty Chemicals","Hi-Mar Specialty Chemicals",,"Chemical Manufacturing","11-50 employees",,"Milwaukee, Wisconsin","United States","himarspecialties.com","https://www.linkedin.com/company/hi-mar-specialty-chemicals-l.l.c.",,,,,
,"Mona Industries Inc","✅ Mona Industries","Mona Industries",,"Chemical Manufacturing","11-50 employees",,"Brooklyn, New York","United States","monaindustries.com","https://www.linkedin.com/company/mona-industries-inc",,,,,
,"Master Chemical Corporation d/b/a Master Fluid Solutions","✅ Master Chemical","Master Chemical",,"Chemical Manufacturing","201-500 employees",,"Perrysburg, OH","United States","masterfluidsolutions.com","https://www.linkedin.com/company/master-chemical-corporation-d-b-a-master-fluid-solutions",,,,,
,"Lotepro Corp","✅ Lotepro","Lotepro",,"Chemical Manufacturing","11-50 employees",,"Mt Kisco, New York","United States",,"https://www.linkedin.com/company/lotepro-corp",,,,,
,"Gamlen Chemical Co","✅ Gamlen Chemical","Gamlen Chemical",,"Chemical Manufacturing","11-50 employees",,"Philadelphia, Pennsylvania","United States",,"https://www.linkedin.com/company/gamlen-chemical-co",,,,,
,"SIOVATION","✅ SIOVATION","SIOVATION",,"Chemical Manufacturing","11-50 employees",,"LAWRENCEVILLE, Georgia","United States",,"https://www.linkedin.com/company/siovation",,,,,
,"Contractorchemicals.com","✅ Contractorchemicals","Contractorchemicals","Eco friendly green chemicals for removal of dried concrete and concrete slurry from construction tools and equipment.  Acid replacement.  Slurry Destroyer, Asphalt Destroyer and Form Release Agents.","Chemical Manufacturing","11-50 employees","Privately Held",,"United States","contractorchemicals.com","https://www.linkedin.com/company/contractorchemicals.com",,,,,
,"The Norros Corporation","✅ The Norros","The Norros","The Norros Corporation distributes specialty chemicals and provides premium water treatment servicing to closed loop systems, boilers, and cooling towers to the Midwest region of Illinois. We customize hundreds of chemical blend specific to your business needs. We provide real and reliable customer service and pride ourselves with the satisfaction of our customers.","Chemical Manufacturing","11-50 employees","Public Company","Wheaton, Illinois","United States","norroscorp.com","https://www.linkedin.com/company/norros-corp",,,,,
,"GAGE BROS. CONCRETE PRODUCTS, INC.","✅ GAGE BROS. CONCRETE PRODUCTS","GAGE BROS. CONCRETE PRODUCTS",,"Chemical Manufacturing","201-500 employees",,"Sioux Falls, South Dakota","United States",,"https://www.linkedin.com/company/gage-bros.-concrete-products-inc.",,,,,
,"W.D. FORBES COMPANY","✅ W.D. FORBES","W.D. FORBES",,"Chemical Manufacturing","11-50 employees",,"MINNEAPOLIS, Minnesota","United States","wdforbes.com","https://www.linkedin.com/company/w.d.-forbes-company",,,,,
,"Emulsions Control Inc","✅ Emulsions Control","Emulsions Control",,"Chemical Manufacturing","11-50 employees",,"Chula Vista, California","United States","emulsionsonline.com","https://www.linkedin.com/company/emulsions-control-inc",,,,,
,"Aqualon Company","✅ Aqualon","Aqualon",,"Chemical Manufacturing","11-50 employees",,"Hopewell, Virginia","United States",,"https://www.linkedin.com/company/aqualon-company",,,,,
,"SMITH & JONES JANITORIAL SUPPLIES & EQUIPMENT","✅ SMITH & JONES JANITORIAL SUPPLIES & EQUIPMENT","SMITH & JONES JANITORIAL SUPPLIES & EQUIPMENT",,"Chemical Manufacturing","11-50 employees",,"WEST COLUMBIA, South Carolina","United States",,"https://www.linkedin.com/company/smith-&-jones-janitorial-supplies-&-equipment",,,,,
,"Murrysville Swim Club","✅ Murrysville Swim Club","Murrysville Swim Club",,"Chemical Manufacturing","11-50 employees",,"Murrysville, PA","United States","murrysvilleswimclub.com","https://www.linkedin.com/company/murrysville-swim-club",,,,,
,"Process Unlimited","✅ Process Unlimited","Process Unlimited",,"Chemical Manufacturing","11-50 employees",,"Clearfield, Utah","United States",,"https://www.linkedin.com/company/process-unlimited",,,,,
,"Mundy Maintenance","✅ Mundy Maintenance","Mundy Maintenance",,"Chemical Manufacturing","11-50 employees",,"Wilmington, North Carolina","United States",,"https://www.linkedin.com/company/mundy-maintenance",,,,,
,"Jmc Corporation","✅ Jmc","Jmc",,"Chemical Manufacturing","11-50 employees",,"Boynton Beach, Florida","United States","jmcjabalpur.org","https://www.linkedin.com/company/jmc-corporation",,,,,
,"Pcc Petrochemical CO","✅ Pcc Petrochemical","Pcc Petrochemical","𝑰𝒏 2010 𝒕𝒉𝒆 𝒄𝒐𝒏𝒔𝒕𝒓𝒖𝒄𝒕𝒊𝒐𝒏 𝒐𝒇 𝑷𝒂𝒓𝒔 𝑪𝒉𝒆𝒎𝒊𝒂 𝑪𝒉𝒍𝒐𝒓 𝑪𝒐𝒎𝒑𝒍𝒆𝒙 𝒘𝒂𝒔 𝒔𝒕𝒂𝒓𝒕𝒆𝒅 𝒕𝒐 𝒄𝒐𝒏𝒔𝒕𝒓𝒖𝒄𝒕 𝒕𝒉𝒆 𝒑𝒓𝒐𝒅𝒖𝒄𝒕𝒊𝒐𝒏 𝒑𝒍𝒂𝒏𝒕 𝒇𝒐𝒓 𝒑𝒓𝒐𝒅𝒖𝒄𝒕𝒊𝒐𝒏 𝒐𝒇 𝑪𝒉𝒍𝒐𝒓𝒊𝒏𝒆, 𝑪𝒂𝒖𝒔𝒕𝒊𝒄 𝑺𝒐𝒅𝒂, 𝑪𝒂𝒖𝒔𝒕𝒊𝒄 𝑺𝒐𝒅𝒂 𝑭𝒍𝒂𝒌𝒆, 𝑯𝒚𝒅𝒓𝒐𝒄𝒉𝒍𝒐𝒓𝒊𝒄 𝑨𝒄𝒊𝒅, 𝑺𝒐𝒅𝒊𝒖𝒎 𝑯𝒚𝒑𝒐𝒄𝒉𝒍𝒐𝒓𝒊𝒕𝒆, 𝑪𝒂𝒍𝒄𝒊𝒖𝒎 𝑯𝒚𝒑𝒐𝒄𝒉𝒍𝒐𝒓𝒊𝒕𝒆 𝒂𝒏𝒅 𝑯𝒚𝒅𝒓𝒐𝒈𝒆𝒏 𝒊𝒏 𝒐𝒓𝒅𝒆𝒓 𝒕𝒐 𝒈𝒆𝒕 𝒕𝒉𝒆 𝒉𝒊𝒈𝒉𝒆𝒔𝒕 𝒑𝒓𝒐𝒅𝒖𝒄𝒕𝒊𝒐𝒏 𝒓𝒂𝒕𝒆 𝒘𝒊𝒕𝒉 𝒕𝒉𝒆 𝒍𝒐𝒘𝒆𝒔𝒕 𝒅𝒂𝒎𝒂𝒈𝒆 𝒕𝒐 𝒕𝒉𝒆 𝒆𝒏𝒗𝒊𝒓𝒐𝒏𝒎𝒆𝒏𝒕 𝒂𝒏𝒅 𝒕𝒉𝒆 𝒃𝒆𝒔𝒕 𝒑𝒓𝒐𝒅𝒖𝒄𝒕 𝒒𝒖𝒂𝒍𝒊𝒕𝒚.","Chemical Manufacturing","201-500 employees","Privately Held","Shushtar, Khuzestan","United States","parschemia.com","https://www.linkedin.com/company/pars-chemia",,,,,
,"Brighton Laboratories, Inc.","✅ Brighton Laboratories","Brighton Laboratories","Brighton Laboratories provides a complete line of synthetic and petroleum oil based products for the metalworking industry.  Our products are designed for the toughest metalworking conditions, and to exceed your quality standards.

The benefits of partnering with Brighton Laboratories include enhanced performing products, 24/7 customer service and cost savings opportunities from reduced tool life, minimal product usage and recycling programs.

Products manufactured for the Metalworking Industry:

- Machining Coolants and Metal Removal Fluids
- Drawing / Stamping Lubricants
- Hydroforming Fluids
- Metal Cleaners
- Lapping Compounds
- Rust Preventatives
- Industrial Lubricants

Brighton Laboratories supplies and services partners in the following industries:

- Automotive
- Construction
- Trucking
- Agriculture
- Aviation
- Appliance
- Defense
- Steel
- Aerospace

Brighton Laboratories provides free fluid surveys to help customer partners improve their manufacturing processes and lower fluid consumption.  Please contact 866-928-1201 to speak with one of our Product Engineers to discuss this opportunity.  

Brighton Laboratories provides Chemical and Total Systems Management Programs for our partners.  This program includes:

- Increased access to advanced lubricant technology
- Inspection, testing, and sampling of incoming products
- Automated reordering and payment process
- C of A management and EHS reporting
- Inventory management / procurement
- Complete SDS management
- Chemical usage reporting
- Partner specific customized programs available

""Cost effective fluid solutions for the metalworking industry!""

Contact Brighton Laboratories:
11871 Grand River, Rd.
Brighton, MI 48116-8505

866-928-1201
810-225-9520

support@brightonlabs.com
www.brightonlabs.com","Chemical Manufacturing","11-50 employees","Privately Held","Brighton, Michigan","United States","brightonlabs.com","https://www.linkedin.com/company/brighton-laboratories-inc",,,,,
,"National Drying Machinery Co","✅ National Drying Machinery","National Drying Machinery","Bühler is the global leader in thermal processing technology, with the acquisition of Aeroglide Corporation in 2008. Aeroglide dryers, roasters, toasters, ovens and coolers are recognized worldwide for superior airflow design, sanit.","Chemical Manufacturing","11-50 employees",,"Philadelphia, Pennsylvania","United States","nationaldrying.com","https://www.linkedin.com/company/national-drying-machinery-co",,,,,
,"Fasse Paint Co","✅ Fasse Paint","Fasse Paint",,"Chemical Manufacturing","11-50 employees",,"Sheboygan Falls, Wisconsin","United States","fill-n-spray.com","https://www.linkedin.com/company/fasse-paint-co",,,,,
,"PAINT OVER RUST PRODUCTS, INC","✅ PAINT OVER RUST PRODUCTS","PAINT OVER RUST PRODUCTS",,"Chemical Manufacturing","11-50 employees",,"New Rochelle, New York","United States",,"https://www.linkedin.com/company/paint-over-rust-products-inc",,,,,
,"AMERICAN CERAMIC TECHNOLOGY","✅ AMERICAN CERAMIC TECHNOLOGY","AMERICAN CERAMIC TECHNOLOGY","American Ceramic Technology, manufacturer of Silflex Shielding, the flexible silicone, nonhazardous, non-lead radiation shielding for the nuclear industry. Neutron and gamma shielding options including magnetic, stainless steel, tungsten and bismuth shielding are available.","Chemical Manufacturing","11-50 employees",,"Poway, California","United States","silflexshielding.com","https://www.linkedin.com/company/american-ceramic-technology",,,,,
,"Dyno Industries","✅ Dyno Industries","Dyno Industries","Dyno Nobel is a global leader in commercial explosives. Learn about our products, practical innovations and career opportunities.","Chemical Manufacturing","11-50 employees",,"Jefferson City, Missouri","United States",,"https://www.linkedin.com/company/dyno-industries",,,,,
,"Sunatech Inc","✅ Sunatech","Sunatech",,"Chemical Manufacturing","11-50 employees",,"Ringwood, New Jersey","United States","sunatech.com.cn","https://www.linkedin.com/company/sunatech-inc",,,,,
,"Murrieta Appliance Repair","✅ Murrieta Appliance Repair","Murrieta Appliance Repair","Murrieta Appliance Repair is a growing local repair company and wants to continue providing the best service to the homeowners & businesses. It does not matter which brand the appliance is as you may require repair or service of the appliance. If your fridge is not cooling or there is a problem with your home AC Unit then call Murrieta Appliance Repair Company.","Chemical Manufacturing","11-50 employees","Non Profit","Murrieta, CA","United States","murrietaappliancerepair.net","https://www.linkedin.com/company/murrietaappliancerepair",,,,,
,"PIONEER CHEMICAL, INC.","✅ PIONEER CHEMICAL","PIONEER CHEMICAL",,"Chemical Manufacturing","11-50 employees",,"GREENVILLE, South Carolina","United States","pioneerchemicals.com","https://www.linkedin.com/company/pioneer-chemical-inc.",,,,,
,"Dendritech, Inc.","✅ Dendritech","Dendritech",,"Chemical Manufacturing","11-50 employees",,"Midland, Michigan","United States","dendritech.com","https://www.linkedin.com/company/dendritech-inc.",,,,,
,"Novastar Inc","✅ Novastar","Novastar",,"Chemical Manufacturing","11-50 employees",,"Warminster, PA","United States","ddmnovastar.com","https://www.linkedin.com/company/novastar-inc",,,,,
,"G2N Labs LLC","✅ G2N Labs","G2N Labs","The G2N Labs team consists of driven and accomplished scientists, business experts and industry specialists. Our team is driven to research, develop, and deliver products to the market that are easy to use and safe for people and the environment.

Our facilities are FDA and EPA Registered using cGMP Manufacturing Processes.

G2N’s research, development, and manufacturing team includes PhD scientists and industry experts with world-class surface-active chemistry knowledge, and vast experience studying absorption and surface interactions, including a comprehensive understanding of how disinfectants behave on various surfaces and substrates.

Our lineup of protectants has been specially created for use on skin, fabric, and other inanimate surfaces, including food contact surfaces. The products are easy to use and leave no residue. Depending on the individual product and application method, our products can remain active and in place on surfaces for hours, days or even weeks.

Our agricultural endeavors are founded on a belief in regenerative agriculture practices, and we strive to foster a more profitable balance between nature and agriculture. Drawing from years of research, we are creating products that mimic and enhance nature while keeping soils and water systems healthy.

By holding ourselves to an uncompromising commitment to safety, accountability and integrity, our business exists to serve the needs of our clients and communities.","Chemical Manufacturing","11-50 employees","Privately Held","PRAGUE, OKLAHOMA","United States","g2nlabs.com","https://www.linkedin.com/company/g2n-labs-llc",,,,,
